[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[246]	training's auc: 0.872236	valid_1's auc: 0.856752
[247]	training's auc: 0.872262	valid_1's auc: 0.856748
[248]	training's auc: 0.872284	valid_1's auc: 0.856731
[249]	training's auc: 0.872301	valid_1's auc: 0.856723
[250]	training's auc: 0.87235	valid_1's auc: 0.856718
[251]	training's auc: 0.87238	valid_1's auc: 0.856704
[252]	training's auc: 0.872405	valid_1's auc: 0.856703
[253]	training's auc: 0.872478	valid_1's auc: 0.856749
[254]	training's auc: 0.872555	valid_1's auc: 0.856769
[255]	training's auc: 0.872634	valid_1's auc: 0.856767
[256]	training's auc: 0.872702	valid_1's auc: 0.856782
[257]	training's auc: 0.872732	valid_1's auc: 0.856771
[258]	training's auc: 0.872797	valid_1's auc: 0.856805
[259]	training's auc: 0.87286	valid_1's auc: 0.856805
[260]	training's auc: 0.872922	valid_1's auc: 0.856813
[261]	training's auc: 0.872943	valid_1's auc: 0.856814
[262]	training's auc: 0.872968	valid_1's auc: 0.856815
[263]	training's auc: 0.872977	valid_1's auc: 0.856808
[264]	training's auc: 0.872996	valid_1's auc: 0.856809
[265]	training's auc: 0.873024	valid_1's auc: 0.856808
[266]	training's auc: 0.873057	valid_1's auc: 0.8568
[267]	training's auc: 0.873136	valid_1's auc: 0.85682
[268]	training's auc: 0.873168	valid_1's auc: 0.856819
[269]	training's auc: 0.873275	valid_1's auc: 0.856866
[270]	training's auc: 0.873332	valid_1's auc: 0.856876
[271]	training's auc: 0.873352	valid_1's auc: 0.856867
[272]	training's auc: 0.873389	valid_1's auc: 0.856875
[273]	training's auc: 0.873467	valid_1's auc: 0.856887
[274]	training's auc: 0.873487	valid_1's auc: 0.856891
[275]	training's auc: 0.873516	valid_1's auc: 0.85688
[276]	training's auc: 0.87354	valid_1's auc: 0.856865
[277]	training's auc: 0.873552	valid_1's auc: 0.856867
[278]	training's auc: 0.873578	valid_1's auc: 0.856852
[279]	training's auc: 0.873609	valid_1's auc: 0.856841
[280]	training's auc: 0.873721	valid_1's auc: 0.85689
[281]	training's auc: 0.873797	valid_1's auc: 0.856882
[282]	training's auc: 0.873881	valid_1's auc: 0.856921
[283]	training's auc: 0.873895	valid_1's auc: 0.856913
[284]	training's auc: 0.873937	valid_1's auc: 0.856912
[285]	training's auc: 0.873984	valid_1's auc: 0.856912
[286]	training's auc: 0.874063	valid_1's auc: 0.856927
[287]	training's auc: 0.874079	valid_1's auc: 0.856924
[288]	training's auc: 0.874123	valid_1's auc: 0.856932
[289]	training's auc: 0.874134	valid_1's auc: 0.856925
[290]	training's auc: 0.874141	valid_1's auc: 0.856924
[291]	training's auc: 0.874182	valid_1's auc: 0.856941
[292]	training's auc: 0.874196	valid_1's auc: 0.856943
[293]	training's auc: 0.874219	valid_1's auc: 0.856941
[294]	training's auc: 0.874236	valid_1's auc: 0.856935
[295]	training's auc: 0.874286	valid_1's auc: 0.856932
[296]	training's auc: 0.874315	valid_1's auc: 0.856934
[297]	training's auc: 0.874399	valid_1's auc: 0.856957
[298]	training's auc: 0.87441	valid_1's auc: 0.856959
[299]	training's auc: 0.874464	valid_1's auc: 0.856979
[300]	training's auc: 0.874497	valid_1's auc: 0.856994
[301]	training's auc: 0.874517	valid_1's auc: 0.856995
[302]	training's auc: 0.874534	valid_1's auc: 0.856991
[303]	training's auc: 0.874543	valid_1's auc: 0.856979
[304]	training's auc: 0.874564	valid_1's auc: 0.856978
[305]	training's auc: 0.874594	valid_1's auc: 0.856982
[306]	training's auc: 0.874604	valid_1's auc: 0.856981
[307]	training's auc: 0.874614	valid_1's auc: 0.856972
[308]	training's auc: 0.874641	valid_1's auc: 0.856983
[309]	training's auc: 0.874729	valid_1's auc: 0.856993
[310]	training's auc: 0.874832	valid_1's auc: 0.857026
[311]	training's auc: 0.874845	valid_1's auc: 0.857021
[312]	training's auc: 0.87492	valid_1's auc: 0.857072
[313]	training's auc: 0.874938	valid_1's auc: 0.857066
[314]	training's auc: 0.874964	valid_1's auc: 0.857064
[315]	training's auc: 0.874968	valid_1's auc: 0.857065
[316]	training's auc: 0.874993	valid_1's auc: 0.857072
[317]	training's auc: 0.875035	valid_1's auc: 0.857066
[318]	training's auc: 0.875109	valid_1's auc: 0.857088
[319]	training's auc: 0.875142	valid_1's auc: 0.857083
[320]	training's auc: 0.875169	valid_1's auc: 0.857078
[321]	training's auc: 0.87518	valid_1's auc: 0.857077
[322]	training's auc: 0.87525	valid_1's auc: 0.857097
[323]	training's auc: 0.875328	valid_1's auc: 0.857128
[324]	training's auc: 0.875405	valid_1's auc: 0.857122
[325]	training's auc: 0.875421	valid_1's auc: 0.85712
[326]	training's auc: 0.875442	valid_1's auc: 0.857126
[327]	training's auc: 0.87546	valid_1's auc: 0.857118
[328]	training's auc: 0.87547	valid_1's auc: 0.857124
[329]	training's auc: 0.875493	valid_1's auc: 0.85711
[330]	training's auc: 0.875528	valid_1's auc: 0.857097
[331]	training's auc: 0.875569	valid_1's auc: 0.857094
[332]	training's auc: 0.875581	valid_1's auc: 0.857101
[333]	training's auc: 0.875592	valid_1's auc: 0.857105
[334]	training's auc: 0.875623	valid_1's auc: 0.8571
[335]	training's auc: 0.875637	valid_1's auc: 0.857107
[336]	training's auc: 0.875668	valid_1's auc: 0.857109
[337]	training's auc: 0.875687	valid_1's auc: 0.857099
[338]	training's auc: 0.875756	valid_1's auc: 0.857108
[339]	training's auc: 0.875777	valid_1's auc: 0.857107
[340]	training's auc: 0.875803	valid_1's auc: 0.857092
[341]	training's auc: 0.875826	valid_1's auc: 0.857088
[342]	training's auc: 0.875852	valid_1's auc: 0.857085
[343]	training's auc: 0.875862	valid_1's auc: 0.857076
[344]	training's auc: 0.875894	valid_1's auc: 0.857069
[345]	training's auc: 0.87593	valid_1's auc: 0.85706
[346]	training's auc: 0.87598	valid_1's auc: 0.857081
[347]	training's auc: 0.876048	valid_1's auc: 0.857087
[348]	training's auc: 0.876098	valid_1's auc: 0.857098
[349]	training's auc: 0.876106	valid_1's auc: 0.857096
[350]	training's auc: 0.876118	valid_1's auc: 0.85709
[351]	training's auc: 0.876179	valid_1's auc: 0.857113
[352]	training's auc: 0.876204	valid_1's auc: 0.857107
[353]	training's auc: 0.876219	valid_1's auc: 0.857113
[354]	training's auc: 0.876227	valid_1's auc: 0.857112
[355]	training's auc: 0.876263	valid_1's auc: 0.857115
[356]	training's auc: 0.876285	valid_1's auc: 0.857101
[357]	training's auc: 0.876296	valid_1's auc: 0.857101
[358]	training's auc: 0.876363	valid_1's auc: 0.857114
[359]	training's auc: 0.876429	valid_1's auc: 0.857128
[360]	training's auc: 0.876441	valid_1's auc: 0.857132
[361]	training's auc: 0.876556	valid_1's auc: 0.857184
[362]	training's auc: 0.876643	valid_1's auc: 0.85721
[363]	training's auc: 0.876657	valid_1's auc: 0.857211
[364]	training's auc: 0.876713	valid_1's auc: 0.857215
[365]	training's auc: 0.876729	valid_1's auc: 0.857218
[366]	training's auc: 0.876742	valid_1's auc: 0.857217
[367]	training's auc: 0.876767	valid_1's auc: 0.857213
[368]	training's auc: 0.876793	valid_1's auc: 0.857213
[369]	training's auc: 0.876841	valid_1's auc: 0.857225
[370]	training's auc: 0.87685	valid_1's auc: 0.857223
[371]	training's auc: 0.87686	valid_1's auc: 0.857212
[372]	training's auc: 0.876869	valid_1's auc: 0.857211
[373]	training's auc: 0.876953	valid_1's auc: 0.857245
[374]	training's auc: 0.876964	valid_1's auc: 0.85725
[375]	training's auc: 0.876996	valid_1's auc: 0.857246
[376]	training's auc: 0.87708	valid_1's auc: 0.857286
[377]	training's auc: 0.877144	valid_1's auc: 0.8573
[378]	training's auc: 0.877166	valid_1's auc: 0.857303
[379]	training's auc: 0.877176	valid_1's auc: 0.857304
[380]	training's auc: 0.877196	valid_1's auc: 0.857302
[381]	training's auc: 0.877221	valid_1's auc: 0.857313
[382]	training's auc: 0.877245	valid_1's auc: 0.857311
[383]	training's auc: 0.877309	valid_1's auc: 0.857327
[384]	training's auc: 0.877324	valid_1's auc: 0.857334
[385]	training's auc: 0.877372	valid_1's auc: 0.857351
[386]	training's auc: 0.877417	valid_1's auc: 0.857355
[387]	training's auc: 0.877426	valid_1's auc: 0.857349
[388]	training's auc: 0.877452	valid_1's auc: 0.857368
[389]	training's auc: 0.877515	valid_1's auc: 0.857362
[390]	training's auc: 0.877589	valid_1's auc: 0.857387
[391]	training's auc: 0.877613	valid_1's auc: 0.85738
[392]	training's auc: 0.877625	valid_1's auc: 0.857384
[393]	training's auc: 0.877652	valid_1's auc: 0.857383
[394]	training's auc: 0.877693	valid_1's auc: 0.857375
[395]	training's auc: 0.877775	valid_1's auc: 0.857383
[396]	training's auc: 0.877777	valid_1's auc: 0.857383
