[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[274]	training's auc: 0.88107	valid_1's auc: 0.85813
[275]	training's auc: 0.881114	valid_1's auc: 0.858146
[276]	training's auc: 0.881123	valid_1's auc: 0.858131
[277]	training's auc: 0.881136	valid_1's auc: 0.85813
[278]	training's auc: 0.881138	valid_1's auc: 0.858118
[279]	training's auc: 0.881193	valid_1's auc: 0.858113
[280]	training's auc: 0.881201	valid_1's auc: 0.858105
[281]	training's auc: 0.881253	valid_1's auc: 0.858081
[282]	training's auc: 0.881315	valid_1's auc: 0.858085
[283]	training's auc: 0.881363	valid_1's auc: 0.858063
[284]	training's auc: 0.881372	valid_1's auc: 0.858062
[285]	training's auc: 0.881376	valid_1's auc: 0.858056
[286]	training's auc: 0.881399	valid_1's auc: 0.858069
[287]	training's auc: 0.881414	valid_1's auc: 0.858069
[288]	training's auc: 0.881476	valid_1's auc: 0.858075
[289]	training's auc: 0.881483	valid_1's auc: 0.858087
[290]	training's auc: 0.88149	valid_1's auc: 0.858089
[291]	training's auc: 0.881553	valid_1's auc: 0.858088
[292]	training's auc: 0.881566	valid_1's auc: 0.85809
[293]	training's auc: 0.881596	valid_1's auc: 0.858118
[294]	training's auc: 0.881606	valid_1's auc: 0.85811
[295]	training's auc: 0.88165	valid_1's auc: 0.858139
[296]	training's auc: 0.881729	valid_1's auc: 0.858132
[297]	training's auc: 0.881802	valid_1's auc: 0.858156
[298]	training's auc: 0.881809	valid_1's auc: 0.858158
[299]	training's auc: 0.881818	valid_1's auc: 0.858152
[300]	training's auc: 0.881843	valid_1's auc: 0.858183
[301]	training's auc: 0.881881	valid_1's auc: 0.858162
[302]	training's auc: 0.881978	valid_1's auc: 0.858131
[303]	training's auc: 0.882001	valid_1's auc: 0.85816
[304]	training's auc: 0.882025	valid_1's auc: 0.858186
[305]	training's auc: 0.882035	valid_1's auc: 0.858178
[306]	training's auc: 0.88212	valid_1's auc: 0.858185
[307]	training's auc: 0.88213	valid_1's auc: 0.858194
[308]	training's auc: 0.882139	valid_1's auc: 0.858198
[309]	training's auc: 0.882148	valid_1's auc: 0.858194
[310]	training's auc: 0.882159	valid_1's auc: 0.858194
[311]	training's auc: 0.882175	valid_1's auc: 0.858188
[312]	training's auc: 0.88227	valid_1's auc: 0.858189
[313]	training's auc: 0.882347	valid_1's auc: 0.85816
[314]	training's auc: 0.882355	valid_1's auc: 0.858148
[315]	training's auc: 0.88238	valid_1's auc: 0.858157
[316]	training's auc: 0.882391	valid_1's auc: 0.85814
[317]	training's auc: 0.882464	valid_1's auc: 0.85812
[318]	training's auc: 0.882488	valid_1's auc: 0.858104
[319]	training's auc: 0.882506	valid_1's auc: 0.858097
[320]	training's auc: 0.882534	valid_1's auc: 0.858097
[321]	training's auc: 0.882556	valid_1's auc: 0.858109
[322]	training's auc: 0.882627	valid_1's auc: 0.858096
[323]	training's auc: 0.882641	valid_1's auc: 0.858081
[324]	training's auc: 0.882654	valid_1's auc: 0.858077
[325]	training's auc: 0.882672	valid_1's auc: 0.858084
[326]	training's auc: 0.882681	valid_1's auc: 0.858076
[327]	training's auc: 0.882683	valid_1's auc: 0.858067
[328]	training's auc: 0.882711	valid_1's auc: 0.858083
[329]	training's auc: 0.882787	valid_1's auc: 0.85807
[330]	training's auc: 0.882796	valid_1's auc: 0.85807
[331]	training's auc: 0.882809	valid_1's auc: 0.858078
[332]	training's auc: 0.882814	valid_1's auc: 0.858078
[333]	training's auc: 0.882824	valid_1's auc: 0.858072
[334]	training's auc: 0.882878	valid_1's auc: 0.858085
[335]	training's auc: 0.882886	valid_1's auc: 0.858079
[336]	training's auc: 0.882934	valid_1's auc: 0.858081
[337]	training's auc: 0.88294	valid_1's auc: 0.858081
[338]	training's auc: 0.882991	valid_1's auc: 0.858085
[339]	training's auc: 0.883013	valid_1's auc: 0.858087
[340]	training's auc: 0.883075	valid_1's auc: 0.858092
[341]	training's auc: 0.883118	valid_1's auc: 0.858076
[342]	training's auc: 0.883123	valid_1's auc: 0.858089
[343]	training's auc: 0.883136	valid_1's auc: 0.858085
[344]	training's auc: 0.883147	valid_1's auc: 0.858098
[345]	training's auc: 0.883229	valid_1's auc: 0.858101
[346]	training's auc: 0.883261	valid_1's auc: 0.858106
[347]	training's auc: 0.883287	valid_1's auc: 0.858118
[348]	training's auc: 0.883294	valid_1's auc: 0.85813
[349]	training's auc: 0.883354	valid_1's auc: 0.858141
[350]	training's auc: 0.883366	valid_1's auc: 0.858145
[351]	training's auc: 0.88339	valid_1's auc: 0.85815
[352]	training's auc: 0.883432	valid_1's auc: 0.858144
[353]	training's auc: 0.883438	valid_1's auc: 0.858141
[354]	training's auc: 0.883458	valid_1's auc: 0.858151
[355]	training's auc: 0.883466	valid_1's auc: 0.858152
[356]	training's auc: 0.883481	valid_1's auc: 0.858175
[357]	training's auc: 0.883481	valid_1's auc: 0.858178
[358]	training's auc: 0.883494	valid_1's auc: 0.858179
[359]	training's auc: 0.883544	valid_1's auc: 0.858183
[360]	training's auc: 0.883578	valid_1's auc: 0.858177
[361]	training's auc: 0.883627	valid_1's auc: 0.858195
[362]	training's auc: 0.883646	valid_1's auc: 0.858202
[363]	training's auc: 0.883657	valid_1's auc: 0.858213
[364]	training's auc: 0.88368	valid_1's auc: 0.85821
[365]	training's auc: 0.883691	valid_1's auc: 0.858226
[366]	training's auc: 0.883713	valid_1's auc: 0.858232
[367]	training's auc: 0.883804	valid_1's auc: 0.858213
[368]	training's auc: 0.883835	valid_1's auc: 0.8582
[369]	training's auc: 0.883847	valid_1's auc: 0.858189
[370]	training's auc: 0.883856	valid_1's auc: 0.858194
[371]	training's auc: 0.883863	valid_1's auc: 0.858195
[372]	training's auc: 0.883869	valid_1's auc: 0.858198
[373]	training's auc: 0.883905	valid_1's auc: 0.858188
[374]	training's auc: 0.88393	valid_1's auc: 0.858195
[375]	training's auc: 0.883957	valid_1's auc: 0.858176
[376]	training's auc: 0.884011	valid_1's auc: 0.858176
[377]	training's auc: 0.884019	valid_1's auc: 0.858192
[378]	training's auc: 0.884045	valid_1's auc: 0.85818
[379]	training's auc: 0.884055	valid_1's auc: 0.85819
[380]	training's auc: 0.884105	valid_1's auc: 0.858176
[381]	training's auc: 0.884116	valid_1's auc: 0.858186
[382]	training's auc: 0.884146	valid_1's auc: 0.858187
[383]	training's auc: 0.884156	valid_1's auc: 0.858182
[384]	training's auc: 0.884165	valid_1's auc: 0.858182
[385]	training's auc: 0.884174	valid_1's auc: 0.858193
[386]	training's auc: 0.884196	valid_1's auc: 0.858214
[387]	training's auc: 0.884202	valid_1's auc: 0.858206
[388]	training's auc: 0.884217	valid_1's auc: 0.858208
[389]	training's auc: 0.884246	valid_1's auc: 0.858218
[390]	training's auc: 0.884248	valid_1's auc: 0.858224
[391]	training's auc: 0.884283	valid_1's auc: 0.858219
[392]	training's auc: 0.884312	valid_1's auc: 0.858197
[393]	training's auc: 0.88432	valid_1's auc: 0.858192
[394]	training's auc: 0.884329	valid_1's auc: 0.858183
[395]	training's auc: 0.884368	valid_1's auc: 0.858168
[396]	training's auc: 0.884377	valid_1's auc: 0.858157
[397]	training's auc: 0.884388	valid_1's auc: 0.858158
[398]	training's auc: 0.88445	valid_1's auc: 0.858142
[399]	training's auc: 0.884493	valid_1's auc: 0.858148
[400]	training's auc: 0.884506	valid_1's auc: 0.858161
[401]	training's auc: 0.884514	valid_1's auc: 0.858162
[402]	training's auc: 0.884522	valid_1's auc: 0.858171
[403]	training's auc: 0.884544	valid_1's auc: 0.858177
[404]	training's auc: 0.884563	valid_1's auc: 0.85819
[405]	training's auc: 0.88458	valid_1's auc: 0.858191
[406]	training's auc: 0.884591	valid_1's auc: 0.8582
[407]	training's auc: 0.884595	valid_1's auc: 0.858194
[408]	training's auc: 0.884611	valid_1's auc: 0.858192
[409]	training's auc: 0.884628	valid_1's auc: 0.858203
[410]	training's auc: 0.884658	valid_1's auc: 0.858207
[411]	training's auc: 0.884666	valid_1's auc: 0.858211
[412]	training's auc: 0.884738	valid_1's auc: 0.858227
[413]	training's auc: 0.884792	valid_1's auc: 0.85825
[414]	training's auc: 0.88481	valid_1's auc: 0.858248
[415]	training's auc: 0.884827	valid_1's auc: 0.858246
[416]	training's auc: 0.884838	valid_1's auc: 0.858237
[417]	training's auc: 0.884893	valid_1's auc: 0.858225
[418]	training's auc: 0.884968	valid_1's auc: 0.858237
[419]	training's auc: 0.88498	valid_1's auc: 0.858246
[420]	training's auc: 0.884991	valid_1's auc: 0.858245
[421]	training's auc: 0.88502	valid_1's auc: 0.858228
[422]	training's auc: 0.885066	valid_1's auc: 0.858228
[423]	training's auc: 0.88514	valid_1's auc: 0.858226
[424]	training's auc: 0.885151	valid_1's auc: 0.85823
[425]	training's auc: 0.885155	valid_1's auc: 0.85823
[426]	training's auc: 0.885223	valid_1's auc: 0.858226
[427]	training's auc: 0.885237	valid_1's auc: 0.858226
[428]	training's auc: 0.885262	valid_1's auc: 0.858239
[429]	training's auc: 0.885261	valid_1's auc: 0.85824
[430]	training's auc: 0.885268	valid_1's auc: 0.858244
