[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[219]	training's auc: 0.868872	valid_1's auc: 0.85832
[220]	training's auc: 0.868915	valid_1's auc: 0.858337
[221]	training's auc: 0.868944	valid_1's auc: 0.858312
[222]	training's auc: 0.868953	valid_1's auc: 0.858316
[223]	training's auc: 0.869034	valid_1's auc: 0.858309
[224]	training's auc: 0.869097	valid_1's auc: 0.858319
[225]	training's auc: 0.869153	valid_1's auc: 0.858341
[226]	training's auc: 0.869229	valid_1's auc: 0.858312
[227]	training's auc: 0.869274	valid_1's auc: 0.858372
[228]	training's auc: 0.869328	valid_1's auc: 0.858384
[229]	training's auc: 0.869353	valid_1's auc: 0.85838
[230]	training's auc: 0.869401	valid_1's auc: 0.858434
[231]	training's auc: 0.869477	valid_1's auc: 0.858474
[232]	training's auc: 0.869523	valid_1's auc: 0.858475
[233]	training's auc: 0.869557	valid_1's auc: 0.858477
[234]	training's auc: 0.869592	valid_1's auc: 0.858479
[235]	training's auc: 0.869633	valid_1's auc: 0.858437
[236]	training's auc: 0.869642	valid_1's auc: 0.85842
[237]	training's auc: 0.869677	valid_1's auc: 0.858476
[238]	training's auc: 0.869699	valid_1's auc: 0.858481
[239]	training's auc: 0.869698	valid_1's auc: 0.858458
[240]	training's auc: 0.869746	valid_1's auc: 0.858492
[241]	training's auc: 0.869757	valid_1's auc: 0.858491
[242]	training's auc: 0.869787	valid_1's auc: 0.858486
[243]	training's auc: 0.869816	valid_1's auc: 0.858472
[244]	training's auc: 0.869845	valid_1's auc: 0.858463
[245]	training's auc: 0.869891	valid_1's auc: 0.858481
[246]	training's auc: 0.869949	valid_1's auc: 0.858474
[247]	training's auc: 0.870007	valid_1's auc: 0.858487
[248]	training's auc: 0.87006	valid_1's auc: 0.858476
[249]	training's auc: 0.870091	valid_1's auc: 0.858471
[250]	training's auc: 0.870171	valid_1's auc: 0.858514
[251]	training's auc: 0.870211	valid_1's auc: 0.858505
[252]	training's auc: 0.870248	valid_1's auc: 0.858503
[253]	training's auc: 0.870301	valid_1's auc: 0.858521
[254]	training's auc: 0.870313	valid_1's auc: 0.858517
[255]	training's auc: 0.870357	valid_1's auc: 0.85856
[256]	training's auc: 0.870405	valid_1's auc: 0.858545
[257]	training's auc: 0.870456	valid_1's auc: 0.858551
[258]	training's auc: 0.870501	valid_1's auc: 0.858595
[259]	training's auc: 0.87052	valid_1's auc: 0.858601
[260]	training's auc: 0.870558	valid_1's auc: 0.858645
[261]	training's auc: 0.870596	valid_1's auc: 0.858646
[262]	training's auc: 0.870628	valid_1's auc: 0.858646
[263]	training's auc: 0.870632	valid_1's auc: 0.858626
[264]	training's auc: 0.870677	valid_1's auc: 0.858645
[265]	training's auc: 0.870705	valid_1's auc: 0.858657
[266]	training's auc: 0.870712	valid_1's auc: 0.858656
[267]	training's auc: 0.870759	valid_1's auc: 0.858669
[268]	training's auc: 0.870844	valid_1's auc: 0.858723
[269]	training's auc: 0.870887	valid_1's auc: 0.858723
[270]	training's auc: 0.870931	valid_1's auc: 0.858708
[271]	training's auc: 0.870985	valid_1's auc: 0.85873
[272]	training's auc: 0.871023	valid_1's auc: 0.858732
[273]	training's auc: 0.871054	valid_1's auc: 0.858788
[274]	training's auc: 0.871059	valid_1's auc: 0.85879
[275]	training's auc: 0.871089	valid_1's auc: 0.858806
[276]	training's auc: 0.871097	valid_1's auc: 0.858803
[277]	training's auc: 0.871132	valid_1's auc: 0.85881
[278]	training's auc: 0.87115	valid_1's auc: 0.858815
[279]	training's auc: 0.871199	valid_1's auc: 0.858822
[280]	training's auc: 0.871221	valid_1's auc: 0.858811
[281]	training's auc: 0.87125	valid_1's auc: 0.858811
[282]	training's auc: 0.871283	valid_1's auc: 0.858816
[283]	training's auc: 0.871345	valid_1's auc: 0.85884
[284]	training's auc: 0.87138	valid_1's auc: 0.858835
[285]	training's auc: 0.871377	valid_1's auc: 0.858824
[286]	training's auc: 0.87144	valid_1's auc: 0.858834
[287]	training's auc: 0.871444	valid_1's auc: 0.858834
[288]	training's auc: 0.871499	valid_1's auc: 0.85884
[289]	training's auc: 0.871507	valid_1's auc: 0.858828
[290]	training's auc: 0.871509	valid_1's auc: 0.858812
[291]	training's auc: 0.871545	valid_1's auc: 0.858817
[292]	training's auc: 0.871551	valid_1's auc: 0.858834
[293]	training's auc: 0.871549	valid_1's auc: 0.858814
[294]	training's auc: 0.871553	valid_1's auc: 0.858832
[295]	training's auc: 0.871592	valid_1's auc: 0.858855
[296]	training's auc: 0.871642	valid_1's auc: 0.858849
[297]	training's auc: 0.871702	valid_1's auc: 0.858873
[298]	training's auc: 0.871705	valid_1's auc: 0.858886
[299]	training's auc: 0.871718	valid_1's auc: 0.858885
[300]	training's auc: 0.871753	valid_1's auc: 0.858917
[301]	training's auc: 0.871787	valid_1's auc: 0.858922
[302]	training's auc: 0.871852	valid_1's auc: 0.858953
[303]	training's auc: 0.871878	valid_1's auc: 0.858991
[304]	training's auc: 0.871937	valid_1's auc: 0.859054
[305]	training's auc: 0.871936	valid_1's auc: 0.859051
[306]	training's auc: 0.871977	valid_1's auc: 0.859042
[307]	training's auc: 0.871985	valid_1's auc: 0.85904
[308]	training's auc: 0.871992	valid_1's auc: 0.859032
