[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[195]	training's auc: 0.858308	valid_1's auc: 0.853214
[196]	training's auc: 0.858394	valid_1's auc: 0.853261
[197]	training's auc: 0.858412	valid_1's auc: 0.853279
[198]	training's auc: 0.858472	valid_1's auc: 0.853315
[199]	training's auc: 0.858535	valid_1's auc: 0.85333
[200]	training's auc: 0.858582	valid_1's auc: 0.853352
[201]	training's auc: 0.858626	valid_1's auc: 0.853356
[202]	training's auc: 0.858668	valid_1's auc: 0.853377
[203]	training's auc: 0.858725	valid_1's auc: 0.853401
[204]	training's auc: 0.858782	valid_1's auc: 0.853417
[205]	training's auc: 0.858822	valid_1's auc: 0.853432
[206]	training's auc: 0.858879	valid_1's auc: 0.853469
[207]	training's auc: 0.858923	valid_1's auc: 0.853464
[208]	training's auc: 0.858999	valid_1's auc: 0.853513
[209]	training's auc: 0.859057	valid_1's auc: 0.853547
[210]	training's auc: 0.859104	valid_1's auc: 0.853562
[211]	training's auc: 0.85915	valid_1's auc: 0.853586
[212]	training's auc: 0.859216	valid_1's auc: 0.85361
[213]	training's auc: 0.859272	valid_1's auc: 0.853615
[214]	training's auc: 0.859305	valid_1's auc: 0.853624
[215]	training's auc: 0.859347	valid_1's auc: 0.853645
[216]	training's auc: 0.859393	valid_1's auc: 0.853655
[217]	training's auc: 0.859473	valid_1's auc: 0.853676
[218]	training's auc: 0.85952	valid_1's auc: 0.853702
[219]	training's auc: 0.859554	valid_1's auc: 0.853719
[220]	training's auc: 0.859632	valid_1's auc: 0.853746
[221]	training's auc: 0.859667	valid_1's auc: 0.853763
[222]	training's auc: 0.859692	valid_1's auc: 0.853791
[223]	training's auc: 0.859724	valid_1's auc: 0.853802
[224]	training's auc: 0.859773	valid_1's auc: 0.853819
[225]	training's auc: 0.859817	valid_1's auc: 0.853843
[226]	training's auc: 0.859853	valid_1's auc: 0.853854
[227]	training's auc: 0.859898	valid_1's auc: 0.853871
[228]	training's auc: 0.859954	valid_1's auc: 0.853878
[229]	training's auc: 0.860028	valid_1's auc: 0.853909
[230]	training's auc: 0.860066	valid_1's auc: 0.85393
[231]	training's auc: 0.860108	valid_1's auc: 0.853952
[232]	training's auc: 0.860171	valid_1's auc: 0.853993
[233]	training's auc: 0.8602	valid_1's auc: 0.854005
[234]	training's auc: 0.860224	valid_1's auc: 0.854007
[235]	training's auc: 0.860299	valid_1's auc: 0.854048
[236]	training's auc: 0.860318	valid_1's auc: 0.854071
[237]	training's auc: 0.860361	valid_1's auc: 0.854086
[238]	training's auc: 0.860398	valid_1's auc: 0.854122
[239]	training's auc: 0.860441	valid_1's auc: 0.854138
[240]	training's auc: 0.860468	valid_1's auc: 0.854164
[241]	training's auc: 0.860534	valid_1's auc: 0.854203
[242]	training's auc: 0.860563	valid_1's auc: 0.854221
[243]	training's auc: 0.860603	valid_1's auc: 0.854242
[244]	training's auc: 0.860669	valid_1's auc: 0.854268
[245]	training's auc: 0.860729	valid_1's auc: 0.854295
[246]	training's auc: 0.860766	valid_1's auc: 0.854312
[247]	training's auc: 0.860787	valid_1's auc: 0.854332
[248]	training's auc: 0.860856	valid_1's auc: 0.854365
[249]	training's auc: 0.860897	valid_1's auc: 0.854376
[250]	training's auc: 0.860947	valid_1's auc: 0.854371
[251]	training's auc: 0.860993	valid_1's auc: 0.854394
[252]	training's auc: 0.861024	valid_1's auc: 0.854408
[253]	training's auc: 0.861074	valid_1's auc: 0.854427
[254]	training's auc: 0.86111	valid_1's auc: 0.854446
[255]	training's auc: 0.861133	valid_1's auc: 0.854442
[256]	training's auc: 0.861194	valid_1's auc: 0.854472
[257]	training's auc: 0.861236	valid_1's auc: 0.854479
[258]	training's auc: 0.861279	valid_1's auc: 0.854502
[259]	training's auc: 0.861324	valid_1's auc: 0.854521
[260]	training's auc: 0.861371	valid_1's auc: 0.854527
[261]	training's auc: 0.861418	valid_1's auc: 0.854547
[262]	training's auc: 0.861479	valid_1's auc: 0.854566
[263]	training's auc: 0.861519	valid_1's auc: 0.854585
[264]	training's auc: 0.861559	valid_1's auc: 0.854599
[265]	training's auc: 0.861587	valid_1's auc: 0.854607
[266]	training's auc: 0.86162	valid_1's auc: 0.854611
[267]	training's auc: 0.861652	valid_1's auc: 0.854647
[268]	training's auc: 0.8617	valid_1's auc: 0.854668
[269]	training's auc: 0.861737	valid_1's auc: 0.854677
[270]	training's auc: 0.861777	valid_1's auc: 0.854681
[271]	training's auc: 0.861815	valid_1's auc: 0.854687
[272]	training's auc: 0.861854	valid_1's auc: 0.854701
[273]	training's auc: 0.861924	valid_1's auc: 0.854747
[274]	training's auc: 0.861979	valid_1's auc: 0.854747
[275]	training's auc: 0.862017	valid_1's auc: 0.854774
[276]	training's auc: 0.862054	valid_1's auc: 0.854785
[277]	training's auc: 0.862087	valid_1's auc: 0.854786
[278]	training's auc: 0.862099	valid_1's auc: 0.854799
[279]	training's auc: 0.86212	valid_1's auc: 0.85482
[280]	training's auc: 0.862139	valid_1's auc: 0.854851
[281]	training's auc: 0.862175	valid_1's auc: 0.854845
[282]	training's auc: 0.862216	valid_1's auc: 0.85486
[283]	training's auc: 0.862247	valid_1's auc: 0.85487
[284]	training's auc: 0.862294	valid_1's auc: 0.854889
[285]	training's auc: 0.862346	valid_1's auc: 0.854907
[286]	training's auc: 0.862398	valid_1's auc: 0.854928
[287]	training's auc: 0.862418	valid_1's auc: 0.854934
[288]	training's auc: 0.862461	valid_1's auc: 0.854939
[289]	training's auc: 0.862493	valid_1's auc: 0.854931
[290]	training's auc: 0.862511	valid_1's auc: 0.854933
[291]	training's auc: 0.862551	valid_1's auc: 0.854936
[292]	training's auc: 0.862587	valid_1's auc: 0.854959
