[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[297]	training's auc: 0.877439	valid_1's auc: 0.861943
[298]	training's auc: 0.877449	valid_1's auc: 0.86195
[299]	training's auc: 0.877479	valid_1's auc: 0.86196
[300]	training's auc: 0.877495	valid_1's auc: 0.861974
[301]	training's auc: 0.877531	valid_1's auc: 0.861966
[302]	training's auc: 0.877603	valid_1's auc: 0.861992
[303]	training's auc: 0.877625	valid_1's auc: 0.862014
[304]	training's auc: 0.877646	valid_1's auc: 0.862022
[305]	training's auc: 0.877679	valid_1's auc: 0.862021
[306]	training's auc: 0.877724	valid_1's auc: 0.862034
[307]	training's auc: 0.877732	valid_1's auc: 0.862029
[308]	training's auc: 0.877816	valid_1's auc: 0.862033
[309]	training's auc: 0.877861	valid_1's auc: 0.862039
[310]	training's auc: 0.877933	valid_1's auc: 0.862031
[311]	training's auc: 0.877939	valid_1's auc: 0.86203
[312]	training's auc: 0.877976	valid_1's auc: 0.862022
[313]	training's auc: 0.877982	valid_1's auc: 0.86203
[314]	training's auc: 0.878024	valid_1's auc: 0.862019
[315]	training's auc: 0.878052	valid_1's auc: 0.862052
[316]	training's auc: 0.87806	valid_1's auc: 0.862043
[317]	training's auc: 0.878138	valid_1's auc: 0.862043
[318]	training's auc: 0.878187	valid_1's auc: 0.862012
[319]	training's auc: 0.878195	valid_1's auc: 0.862004
[320]	training's auc: 0.878228	valid_1's auc: 0.862011
[321]	training's auc: 0.878285	valid_1's auc: 0.862016
[322]	training's auc: 0.878346	valid_1's auc: 0.862001
[323]	training's auc: 0.878408	valid_1's auc: 0.861977
[324]	training's auc: 0.878424	valid_1's auc: 0.861986
[325]	training's auc: 0.878497	valid_1's auc: 0.86202
[326]	training's auc: 0.878503	valid_1's auc: 0.862018
[327]	training's auc: 0.878506	valid_1's auc: 0.862014
[328]	training's auc: 0.878527	valid_1's auc: 0.862025
[329]	training's auc: 0.878571	valid_1's auc: 0.862019
[330]	training's auc: 0.878607	valid_1's auc: 0.862012
[331]	training's auc: 0.878627	valid_1's auc: 0.862003
[332]	training's auc: 0.878672	valid_1's auc: 0.861976
[333]	training's auc: 0.878715	valid_1's auc: 0.862003
[334]	training's auc: 0.878759	valid_1's auc: 0.861994
[335]	training's auc: 0.878803	valid_1's auc: 0.861995
[336]	training's auc: 0.878825	valid_1's auc: 0.861991
[337]	training's auc: 0.878837	valid_1's auc: 0.861985
[338]	training's auc: 0.87888	valid_1's auc: 0.861979
[339]	training's auc: 0.878927	valid_1's auc: 0.86199
[340]	training's auc: 0.878972	valid_1's auc: 0.861974
[341]	training's auc: 0.878993	valid_1's auc: 0.861986
[342]	training's auc: 0.879024	valid_1's auc: 0.861975
[343]	training's auc: 0.879049	valid_1's auc: 0.861968
[344]	training's auc: 0.879056	valid_1's auc: 0.861971
[345]	training's auc: 0.879093	valid_1's auc: 0.861967
[346]	training's auc: 0.879127	valid_1's auc: 0.861974
[347]	training's auc: 0.879155	valid_1's auc: 0.862008
[348]	training's auc: 0.879193	valid_1's auc: 0.861994
[349]	training's auc: 0.879233	valid_1's auc: 0.861985
[350]	training's auc: 0.879239	valid_1's auc: 0.861983
[351]	training's auc: 0.879256	valid_1's auc: 0.861989
[352]	training's auc: 0.879285	valid_1's auc: 0.861995
[353]	training's auc: 0.879298	valid_1's auc: 0.861985
[354]	training's auc: 0.879317	valid_1's auc: 0.862002
[355]	training's auc: 0.87937	valid_1's auc: 0.862029
[356]	training's auc: 0.879388	valid_1's auc: 0.862041
[357]	training's auc: 0.87939	valid_1's auc: 0.862044
[358]	training's auc: 0.879424	valid_1's auc: 0.862039
[359]	training's auc: 0.879442	valid_1's auc: 0.862046
[360]	training's auc: 0.879474	valid_1's auc: 0.862058
[361]	training's auc: 0.879516	valid_1's auc: 0.862056
[362]	training's auc: 0.879533	valid_1's auc: 0.862064
[363]	training's auc: 0.879551	valid_1's auc: 0.862061
[364]	training's auc: 0.879569	valid_1's auc: 0.862059
[365]	training's auc: 0.879577	valid_1's auc: 0.862058
[366]	training's auc: 0.879616	valid_1's auc: 0.862063
[367]	training's auc: 0.879664	valid_1's auc: 0.862049
[368]	training's auc: 0.879703	valid_1's auc: 0.862063
[369]	training's auc: 0.879735	valid_1's auc: 0.86208
[370]	training's auc: 0.879743	valid_1's auc: 0.862073
[371]	training's auc: 0.87979	valid_1's auc: 0.862068
[372]	training's auc: 0.879793	valid_1's auc: 0.862063
[373]	training's auc: 0.879818	valid_1's auc: 0.862065
[374]	training's auc: 0.879834	valid_1's auc: 0.862074
[375]	training's auc: 0.879861	valid_1's auc: 0.862081
[376]	training's auc: 0.879896	valid_1's auc: 0.862089
[377]	training's auc: 0.879934	valid_1's auc: 0.862093
[378]	training's auc: 0.879954	valid_1's auc: 0.862103
[379]	training's auc: 0.879957	valid_1's auc: 0.862102
