[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[261]	training's auc: 0.880017	valid_1's auc: 0.863124
[262]	training's auc: 0.88008	valid_1's auc: 0.86313
[263]	training's auc: 0.880089	valid_1's auc: 0.86312
[264]	training's auc: 0.880199	valid_1's auc: 0.863152
[265]	training's auc: 0.880225	valid_1's auc: 0.863166
[266]	training's auc: 0.880252	valid_1's auc: 0.863187
[267]	training's auc: 0.880283	valid_1's auc: 0.863201
[268]	training's auc: 0.880353	valid_1's auc: 0.863196
[269]	training's auc: 0.880419	valid_1's auc: 0.863208
[270]	training's auc: 0.880472	valid_1's auc: 0.863222
[271]	training's auc: 0.880541	valid_1's auc: 0.863216
[272]	training's auc: 0.880609	valid_1's auc: 0.863211
[273]	training's auc: 0.880629	valid_1's auc: 0.863218
[274]	training's auc: 0.880636	valid_1's auc: 0.863218
[275]	training's auc: 0.880681	valid_1's auc: 0.86321
[276]	training's auc: 0.880691	valid_1's auc: 0.863226
[277]	training's auc: 0.880719	valid_1's auc: 0.863228
[278]	training's auc: 0.880763	valid_1's auc: 0.863237
[279]	training's auc: 0.880809	valid_1's auc: 0.863237
[280]	training's auc: 0.880819	valid_1's auc: 0.863228
[281]	training's auc: 0.880859	valid_1's auc: 0.86321
[282]	training's auc: 0.880908	valid_1's auc: 0.863214
[283]	training's auc: 0.880949	valid_1's auc: 0.863235
[284]	training's auc: 0.880952	valid_1's auc: 0.863234
[285]	training's auc: 0.881032	valid_1's auc: 0.863214
[286]	training's auc: 0.881108	valid_1's auc: 0.863233
[287]	training's auc: 0.881119	valid_1's auc: 0.863242
[288]	training's auc: 0.881178	valid_1's auc: 0.86324
[289]	training's auc: 0.881308	valid_1's auc: 0.863278
[290]	training's auc: 0.881315	valid_1's auc: 0.863276
[291]	training's auc: 0.881375	valid_1's auc: 0.863267
[292]	training's auc: 0.881386	valid_1's auc: 0.863279
[293]	training's auc: 0.881414	valid_1's auc: 0.863299
[294]	training's auc: 0.88148	valid_1's auc: 0.863299
[295]	training's auc: 0.881507	valid_1's auc: 0.863307
[296]	training's auc: 0.881569	valid_1's auc: 0.86333
[297]	training's auc: 0.881618	valid_1's auc: 0.863317
[298]	training's auc: 0.881647	valid_1's auc: 0.863336
[299]	training's auc: 0.88168	valid_1's auc: 0.863332
[300]	training's auc: 0.881706	valid_1's auc: 0.863362
[301]	training's auc: 0.881747	valid_1's auc: 0.863361
[302]	training's auc: 0.881845	valid_1's auc: 0.863337
[303]	training's auc: 0.881866	valid_1's auc: 0.863355
[304]	training's auc: 0.881886	valid_1's auc: 0.863364
[305]	training's auc: 0.881893	valid_1's auc: 0.863357
[306]	training's auc: 0.881944	valid_1's auc: 0.863357
[307]	training's auc: 0.881953	valid_1's auc: 0.863368
[308]	training's auc: 0.881963	valid_1's auc: 0.863368
[309]	training's auc: 0.881974	valid_1's auc: 0.863363
[310]	training's auc: 0.882068	valid_1's auc: 0.863338
[311]	training's auc: 0.882076	valid_1's auc: 0.863336
[312]	training's auc: 0.882149	valid_1's auc: 0.863322
[313]	training's auc: 0.882208	valid_1's auc: 0.863293
[314]	training's auc: 0.882264	valid_1's auc: 0.863282
[315]	training's auc: 0.882283	valid_1's auc: 0.863286
[316]	training's auc: 0.882293	valid_1's auc: 0.863277
[317]	training's auc: 0.882372	valid_1's auc: 0.863253
[318]	training's auc: 0.882426	valid_1's auc: 0.863241
[319]	training's auc: 0.882447	valid_1's auc: 0.863235
[320]	training's auc: 0.882475	valid_1's auc: 0.863257
[321]	training's auc: 0.882515	valid_1's auc: 0.863255
[322]	training's auc: 0.882575	valid_1's auc: 0.863222
[323]	training's auc: 0.882678	valid_1's auc: 0.863256
[324]	training's auc: 0.882699	valid_1's auc: 0.863279
[325]	training's auc: 0.882764	valid_1's auc: 0.863292
[326]	training's auc: 0.882774	valid_1's auc: 0.863316
[327]	training's auc: 0.882778	valid_1's auc: 0.863324
[328]	training's auc: 0.88281	valid_1's auc: 0.863302
[329]	training's auc: 0.882848	valid_1's auc: 0.863281
[330]	training's auc: 0.882879	valid_1's auc: 0.863285
[331]	training's auc: 0.882916	valid_1's auc: 0.863293
[332]	training's auc: 0.882919	valid_1's auc: 0.863303
[333]	training's auc: 0.882941	valid_1's auc: 0.863307
[334]	training's auc: 0.882985	valid_1's auc: 0.863303
[335]	training's auc: 0.883025	valid_1's auc: 0.863302
[336]	training's auc: 0.883059	valid_1's auc: 0.863291
[337]	training's auc: 0.883101	valid_1's auc: 0.863296
[338]	training's auc: 0.883144	valid_1's auc: 0.863291
[339]	training's auc: 0.883156	valid_1's auc: 0.863285
[340]	training's auc: 0.883204	valid_1's auc: 0.863292
[341]	training's auc: 0.883222	valid_1's auc: 0.863307
[342]	training's auc: 0.883231	valid_1's auc: 0.863316
[343]	training's auc: 0.88325	valid_1's auc: 0.863319
[344]	training's auc: 0.883259	valid_1's auc: 0.86332
[345]	training's auc: 0.883305	valid_1's auc: 0.86332
[346]	training's auc: 0.883346	valid_1's auc: 0.863323
[347]	training's auc: 0.883363	valid_1's auc: 0.863323
[348]	training's auc: 0.883368	valid_1's auc: 0.863325
[349]	training's auc: 0.88341	valid_1's auc: 0.863326
[350]	training's auc: 0.883414	valid_1's auc: 0.863334
[351]	training's auc: 0.883461	valid_1's auc: 0.863345
[352]	training's auc: 0.883491	valid_1's auc: 0.863335
[353]	training's auc: 0.883538	valid_1's auc: 0.863337
[354]	training's auc: 0.88356	valid_1's auc: 0.863354
[355]	training's auc: 0.883604	valid_1's auc: 0.863355
[356]	training's auc: 0.883626	valid_1's auc: 0.863363
[357]	training's auc: 0.883629	valid_1's auc: 0.863365
[358]	training's auc: 0.883636	valid_1's auc: 0.863367
[359]	training's auc: 0.883665	valid_1's auc: 0.863361
[360]	training's auc: 0.883694	valid_1's auc: 0.863367
[361]	training's auc: 0.88374	valid_1's auc: 0.863366
[362]	training's auc: 0.88375	valid_1's auc: 0.863368
[363]	training's auc: 0.883753	valid_1's auc: 0.863372
[364]	training's auc: 0.883779	valid_1's auc: 0.863362
[365]	training's auc: 0.88379	valid_1's auc: 0.863371
[366]	training's auc: 0.883833	valid_1's auc: 0.863375
[367]	training's auc: 0.883876	valid_1's auc: 0.863366
[368]	training's auc: 0.883892	valid_1's auc: 0.863374
[369]	training's auc: 0.883922	valid_1's auc: 0.863371
[370]	training's auc: 0.883931	valid_1's auc: 0.863373
[371]	training's auc: 0.88397	valid_1's auc: 0.863363
[372]	training's auc: 0.883976	valid_1's auc: 0.863363
[373]	training's auc: 0.883996	valid_1's auc: 0.863357
[374]	training's auc: 0.884006	valid_1's auc: 0.863369
[375]	training's auc: 0.884036	valid_1's auc: 0.863373
[376]	training's auc: 0.884085	valid_1's auc: 0.863373
[377]	training's auc: 0.884133	valid_1's auc: 0.863364
[378]	training's auc: 0.884151	valid_1's auc: 0.863362
[379]	training's auc: 0.884158	valid_1's auc: 0.863367
[380]	training's auc: 0.88417	valid_1's auc: 0.86338
[381]	training's auc: 0.884217	valid_1's auc: 0.8634
[382]	training's auc: 0.88423	valid_1's auc: 0.86341
[383]	training's auc: 0.884279	valid_1's auc: 0.863391
[384]	training's auc: 0.884288	valid_1's auc: 0.863401
[385]	training's auc: 0.884301	valid_1's auc: 0.863399
[386]	training's auc: 0.88432	valid_1's auc: 0.863418
[387]	training's auc: 0.884337	valid_1's auc: 0.86343
[388]	training's auc: 0.884358	valid_1's auc: 0.86344
[389]	training's auc: 0.884388	valid_1's auc: 0.863447
[390]	training's auc: 0.884396	valid_1's auc: 0.863445
[391]	training's auc: 0.884436	valid_1's auc: 0.863436
[392]	training's auc: 0.884441	valid_1's auc: 0.863437
[393]	training's auc: 0.884449	valid_1's auc: 0.863454
[394]	training's auc: 0.884459	valid_1's auc: 0.863461
[395]	training's auc: 0.884494	valid_1's auc: 0.863456
[396]	training's auc: 0.8845	valid_1's auc: 0.86344
[397]	training's auc: 0.884514	valid_1's auc: 0.86344
[398]	training's auc: 0.884548	valid_1's auc: 0.863426
[399]	training's auc: 0.884587	valid_1's auc: 0.863424
[400]	training's auc: 0.884597	valid_1's auc: 0.863422
[401]	training's auc: 0.884644	valid_1's auc: 0.863413
[402]	training's auc: 0.884654	valid_1's auc: 0.86342
[403]	training's auc: 0.884664	valid_1's auc: 0.863415
[404]	training's auc: 0.884687	valid_1's auc: 0.863425
[405]	training's auc: 0.884699	valid_1's auc: 0.863413
[406]	training's auc: 0.884718	valid_1's auc: 0.863407
[407]	training's auc: 0.884758	valid_1's auc: 0.863414
[408]	training's auc: 0.884804	valid_1's auc: 0.863408
[409]	training's auc: 0.884813	valid_1's auc: 0.863409
[410]	training's auc: 0.884833	valid_1's auc: 0.863423
[411]	training's auc: 0.884841	valid_1's auc: 0.863425
[412]	training's auc: 0.884903	valid_1's auc: 0.863434
[413]	training's auc: 0.884952	valid_1's auc: 0.863416
