[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[303]	training's auc: 0.880278	valid_1's auc: 0.860461
[304]	training's auc: 0.880309	valid_1's auc: 0.860497
[305]	training's auc: 0.880342	valid_1's auc: 0.860515
[306]	training's auc: 0.880388	valid_1's auc: 0.860517
[307]	training's auc: 0.880431	valid_1's auc: 0.860525
[308]	training's auc: 0.88045	valid_1's auc: 0.860521
[309]	training's auc: 0.880484	valid_1's auc: 0.860513
[310]	training's auc: 0.8805	valid_1's auc: 0.860504
[311]	training's auc: 0.880529	valid_1's auc: 0.8605
[312]	training's auc: 0.880574	valid_1's auc: 0.860508
[313]	training's auc: 0.880606	valid_1's auc: 0.860496
[314]	training's auc: 0.880655	valid_1's auc: 0.860519
[315]	training's auc: 0.880673	valid_1's auc: 0.860542
[316]	training's auc: 0.880742	valid_1's auc: 0.860539
[317]	training's auc: 0.880777	valid_1's auc: 0.860555
[318]	training's auc: 0.880805	valid_1's auc: 0.860544
[319]	training's auc: 0.880834	valid_1's auc: 0.860548
[320]	training's auc: 0.880876	valid_1's auc: 0.860535
[321]	training's auc: 0.880907	valid_1's auc: 0.860544
[322]	training's auc: 0.880956	valid_1's auc: 0.860531
[323]	training's auc: 0.881018	valid_1's auc: 0.860533
[324]	training's auc: 0.881054	valid_1's auc: 0.860545
[325]	training's auc: 0.881117	valid_1's auc: 0.860566
[326]	training's auc: 0.881156	valid_1's auc: 0.860567
[327]	training's auc: 0.881162	valid_1's auc: 0.860564
[328]	training's auc: 0.881168	valid_1's auc: 0.860564
[329]	training's auc: 0.881211	valid_1's auc: 0.860561
[330]	training's auc: 0.88124	valid_1's auc: 0.860568
[331]	training's auc: 0.881285	valid_1's auc: 0.860568
[332]	training's auc: 0.881302	valid_1's auc: 0.860569
[333]	training's auc: 0.881341	valid_1's auc: 0.860567
[334]	training's auc: 0.881377	valid_1's auc: 0.860572
[335]	training's auc: 0.881415	valid_1's auc: 0.86057
[336]	training's auc: 0.881468	valid_1's auc: 0.860563
[337]	training's auc: 0.881518	valid_1's auc: 0.860578
[338]	training's auc: 0.881564	valid_1's auc: 0.860581
[339]	training's auc: 0.881594	valid_1's auc: 0.860586
[340]	training's auc: 0.881628	valid_1's auc: 0.860593
[341]	training's auc: 0.881665	valid_1's auc: 0.860592
[342]	training's auc: 0.881682	valid_1's auc: 0.860597
[343]	training's auc: 0.881705	valid_1's auc: 0.860606
[344]	training's auc: 0.881713	valid_1's auc: 0.860605
[345]	training's auc: 0.881748	valid_1's auc: 0.860607
[346]	training's auc: 0.881788	valid_1's auc: 0.860603
[347]	training's auc: 0.881816	valid_1's auc: 0.86064
[348]	training's auc: 0.881832	valid_1's auc: 0.860638
[349]	training's auc: 0.8819	valid_1's auc: 0.860644
[350]	training's auc: 0.881902	valid_1's auc: 0.860636
[351]	training's auc: 0.881941	valid_1's auc: 0.860648
[352]	training's auc: 0.881989	valid_1's auc: 0.860633
[353]	training's auc: 0.882037	valid_1's auc: 0.860626
[354]	training's auc: 0.882091	valid_1's auc: 0.860642
[355]	training's auc: 0.882126	valid_1's auc: 0.860644
[356]	training's auc: 0.882159	valid_1's auc: 0.860658
[357]	training's auc: 0.88219	valid_1's auc: 0.860649
[358]	training's auc: 0.882223	valid_1's auc: 0.860641
[359]	training's auc: 0.882277	valid_1's auc: 0.860672
[360]	training's auc: 0.882312	valid_1's auc: 0.860688
[361]	training's auc: 0.882347	valid_1's auc: 0.860691
[362]	training's auc: 0.882378	valid_1's auc: 0.860711
[363]	training's auc: 0.882425	valid_1's auc: 0.860721
[364]	training's auc: 0.882458	valid_1's auc: 0.860725
[365]	training's auc: 0.882464	valid_1's auc: 0.860723
[366]	training's auc: 0.882511	valid_1's auc: 0.860735
[367]	training's auc: 0.882557	valid_1's auc: 0.860739
[368]	training's auc: 0.882599	valid_1's auc: 0.860748
[369]	training's auc: 0.882633	valid_1's auc: 0.860763
[370]	training's auc: 0.882675	valid_1's auc: 0.860758
[371]	training's auc: 0.882689	valid_1's auc: 0.860764
[372]	training's auc: 0.882745	valid_1's auc: 0.860775
[373]	training's auc: 0.88278	valid_1's auc: 0.860776
[374]	training's auc: 0.882805	valid_1's auc: 0.860809
[375]	training's auc: 0.882834	valid_1's auc: 0.860815
[376]	training's auc: 0.882883	valid_1's auc: 0.860811
[377]	training's auc: 0.882925	valid_1's auc: 0.860811
[378]	training's auc: 0.882974	valid_1's auc: 0.860815
[379]	training's auc: 0.882996	valid_1's auc: 0.860805
[380]	training's auc: 0.883028	valid_1's auc: 0.86081
[381]	training's auc: 0.883063	valid_1's auc: 0.860803
[382]	training's auc: 0.883106	valid_1's auc: 0.860795
[383]	training's auc: 0.883146	valid_1's auc: 0.860801
[384]	training's auc: 0.883189	valid_1's auc: 0.860817
[385]	training's auc: 0.883217	valid_1's auc: 0.860823
[386]	training's auc: 0.883267	valid_1's auc: 0.860847
[387]	training's auc: 0.883271	valid_1's auc: 0.860841
[388]	training's auc: 0.883311	valid_1's auc: 0.860844
[389]	training's auc: 0.883335	valid_1's auc: 0.860831
[390]	training's auc: 0.883361	valid_1's auc: 0.860838
[391]	training's auc: 0.883396	valid_1's auc: 0.86085
[392]	training's auc: 0.883434	valid_1's auc: 0.860848
[393]	training's auc: 0.883475	valid_1's auc: 0.860865
[394]	training's auc: 0.883509	valid_1's auc: 0.860864
[395]	training's auc: 0.883554	valid_1's auc: 0.860868
[396]	training's auc: 0.883559	valid_1's auc: 0.860865
[397]	training's auc: 0.883598	valid_1's auc: 0.860866
[398]	training's auc: 0.88362	valid_1's auc: 0.860857
[399]	training's auc: 0.883655	valid_1's auc: 0.860856
[400]	training's auc: 0.883723	valid_1's auc: 0.860878
[401]	training's auc: 0.883768	valid_1's auc: 0.860866
[402]	training's auc: 0.883774	valid_1's auc: 0.860864
[403]	training's auc: 0.883809	valid_1's auc: 0.860859
[404]	training's auc: 0.883833	valid_1's auc: 0.860881
[405]	training's auc: 0.883875	valid_1's auc: 0.860885
[406]	training's auc: 0.88392	valid_1's auc: 0.860886
[407]	training's auc: 0.883946	valid_1's auc: 0.860893
[408]	training's auc: 0.883981	valid_1's auc: 0.860884
[409]	training's auc: 0.884008	valid_1's auc: 0.860897
[410]	training's auc: 0.884029	valid_1's auc: 0.860888
[411]	training's auc: 0.884035	valid_1's auc: 0.860891
[412]	training's auc: 0.884063	valid_1's auc: 0.860891
[413]	training's auc: 0.884092	valid_1's auc: 0.860889
