[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[200]	training's auc: 0.882116	valid_1's auc: 0.861566
[201]	training's auc: 0.882238	valid_1's auc: 0.861575
[202]	training's auc: 0.882304	valid_1's auc: 0.861571
[203]	training's auc: 0.882452	valid_1's auc: 0.861582
[204]	training's auc: 0.882496	valid_1's auc: 0.861564
[205]	training's auc: 0.882605	valid_1's auc: 0.861582
[206]	training's auc: 0.882635	valid_1's auc: 0.861604
[207]	training's auc: 0.882734	valid_1's auc: 0.861578
[208]	training's auc: 0.882769	valid_1's auc: 0.861614
[209]	training's auc: 0.882793	valid_1's auc: 0.861617
[210]	training's auc: 0.882839	valid_1's auc: 0.861606
[211]	training's auc: 0.882916	valid_1's auc: 0.861616
[212]	training's auc: 0.882955	valid_1's auc: 0.861622
[213]	training's auc: 0.88298	valid_1's auc: 0.861643
[214]	training's auc: 0.88308	valid_1's auc: 0.861622
[215]	training's auc: 0.883187	valid_1's auc: 0.861656
[216]	training's auc: 0.883233	valid_1's auc: 0.861657
[217]	training's auc: 0.88332	valid_1's auc: 0.861691
[218]	training's auc: 0.883429	valid_1's auc: 0.861682
[219]	training's auc: 0.88346	valid_1's auc: 0.861714
[220]	training's auc: 0.883539	valid_1's auc: 0.861713
[221]	training's auc: 0.883573	valid_1's auc: 0.861708
[222]	training's auc: 0.883693	valid_1's auc: 0.861747
[223]	training's auc: 0.883748	valid_1's auc: 0.861746
[224]	training's auc: 0.883818	valid_1's auc: 0.861746
[225]	training's auc: 0.88385	valid_1's auc: 0.861771
[226]	training's auc: 0.883935	valid_1's auc: 0.861769
[227]	training's auc: 0.883959	valid_1's auc: 0.861801
[228]	training's auc: 0.883986	valid_1's auc: 0.86182
[229]	training's auc: 0.884047	valid_1's auc: 0.861829
[230]	training's auc: 0.884067	valid_1's auc: 0.861836
[231]	training's auc: 0.884136	valid_1's auc: 0.861833
[232]	training's auc: 0.884159	valid_1's auc: 0.861852
[233]	training's auc: 0.884193	valid_1's auc: 0.86185
[234]	training's auc: 0.884253	valid_1's auc: 0.861887
[235]	training's auc: 0.884296	valid_1's auc: 0.861889
[236]	training's auc: 0.88439	valid_1's auc: 0.861875
[237]	training's auc: 0.884408	valid_1's auc: 0.861887
[238]	training's auc: 0.884454	valid_1's auc: 0.861863
[239]	training's auc: 0.884559	valid_1's auc: 0.861867
[240]	training's auc: 0.884647	valid_1's auc: 0.861844
[241]	training's auc: 0.884659	valid_1's auc: 0.86184
[242]	training's auc: 0.884682	valid_1's auc: 0.861834
[243]	training's auc: 0.884738	valid_1's auc: 0.861826
[244]	training's auc: 0.884796	valid_1's auc: 0.861833
[245]	training's auc: 0.884832	valid_1's auc: 0.861838
[246]	training's auc: 0.884881	valid_1's auc: 0.861857
[247]	training's auc: 0.884925	valid_1's auc: 0.861868
[248]	training's auc: 0.884958	valid_1's auc: 0.861871
[249]	training's auc: 0.885015	valid_1's auc: 0.861852
[250]	training's auc: 0.885063	valid_1's auc: 0.861834
[251]	training's auc: 0.885132	valid_1's auc: 0.861829
[252]	training's auc: 0.885229	valid_1's auc: 0.861807
[253]	training's auc: 0.885281	valid_1's auc: 0.861807
[254]	training's auc: 0.8853	valid_1's auc: 0.861788
[255]	training's auc: 0.885321	valid_1's auc: 0.861802
[256]	training's auc: 0.885396	valid_1's auc: 0.861787
[257]	training's auc: 0.885456	valid_1's auc: 0.861778
[258]	training's auc: 0.885482	valid_1's auc: 0.861787
[259]	training's auc: 0.885551	valid_1's auc: 0.86179
[260]	training's auc: 0.885576	valid_1's auc: 0.861799
[261]	training's auc: 0.885627	valid_1's auc: 0.861789
[262]	training's auc: 0.885681	valid_1's auc: 0.861834
[263]	training's auc: 0.885767	valid_1's auc: 0.861808
[264]	training's auc: 0.885854	valid_1's auc: 0.861814
[265]	training's auc: 0.885869	valid_1's auc: 0.861822
[266]	training's auc: 0.885965	valid_1's auc: 0.861864
[267]	training's auc: 0.885995	valid_1's auc: 0.861854
[268]	training's auc: 0.886015	valid_1's auc: 0.861855
[269]	training's auc: 0.886025	valid_1's auc: 0.861852
[270]	training's auc: 0.886064	valid_1's auc: 0.86184
[271]	training's auc: 0.886098	valid_1's auc: 0.861831
[272]	training's auc: 0.886155	valid_1's auc: 0.861823
[273]	training's auc: 0.88617	valid_1's auc: 0.861828
[274]	training's auc: 0.886235	valid_1's auc: 0.861818
[275]	training's auc: 0.88627	valid_1's auc: 0.861831
[276]	training's auc: 0.886295	valid_1's auc: 0.861833
[277]	training's auc: 0.886334	valid_1's auc: 0.861841
[278]	training's auc: 0.886364	valid_1's auc: 0.861848
[279]	training's auc: 0.886407	valid_1's auc: 0.861841
[280]	training's auc: 0.886427	valid_1's auc: 0.86184
[281]	training's auc: 0.886485	valid_1's auc: 0.861862
[282]	training's auc: 0.886504	valid_1's auc: 0.861881
[283]	training's auc: 0.886548	valid_1's auc: 0.861898
[284]	training's auc: 0.886621	valid_1's auc: 0.861882
