[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[177]	training's auc: 0.870226	valid_1's auc: 0.855482
[178]	training's auc: 0.870301	valid_1's auc: 0.855504
[179]	training's auc: 0.870337	valid_1's auc: 0.855512
[180]	training's auc: 0.870432	valid_1's auc: 0.855518
[181]	training's auc: 0.870566	valid_1's auc: 0.855571
[182]	training's auc: 0.870627	valid_1's auc: 0.855577
[183]	training's auc: 0.870698	valid_1's auc: 0.85559
[184]	training's auc: 0.870756	valid_1's auc: 0.85558
[185]	training's auc: 0.870824	valid_1's auc: 0.85561
[186]	training's auc: 0.870956	valid_1's auc: 0.855681
[187]	training's auc: 0.871003	valid_1's auc: 0.855711
[188]	training's auc: 0.871058	valid_1's auc: 0.855719
[189]	training's auc: 0.871136	valid_1's auc: 0.855734
[190]	training's auc: 0.8712	valid_1's auc: 0.855752
[191]	training's auc: 0.87125	valid_1's auc: 0.855762
[192]	training's auc: 0.871301	valid_1's auc: 0.855767
[193]	training's auc: 0.871345	valid_1's auc: 0.855774
[194]	training's auc: 0.871384	valid_1's auc: 0.855782
[195]	training's auc: 0.871494	valid_1's auc: 0.855804
[196]	training's auc: 0.871544	valid_1's auc: 0.855809
[197]	training's auc: 0.871614	valid_1's auc: 0.855859
[198]	training's auc: 0.871692	valid_1's auc: 0.855909
[199]	training's auc: 0.87173	valid_1's auc: 0.855913
[200]	training's auc: 0.871795	valid_1's auc: 0.855943
[201]	training's auc: 0.871868	valid_1's auc: 0.855977
[202]	training's auc: 0.871927	valid_1's auc: 0.855984
[203]	training's auc: 0.871953	valid_1's auc: 0.856001
[204]	training's auc: 0.872019	valid_1's auc: 0.856001
[205]	training's auc: 0.87205	valid_1's auc: 0.856021
[206]	training's auc: 0.872135	valid_1's auc: 0.85604
[207]	training's auc: 0.872204	valid_1's auc: 0.856059
[208]	training's auc: 0.872244	valid_1's auc: 0.856067
[209]	training's auc: 0.87235	valid_1's auc: 0.856106
[210]	training's auc: 0.872393	valid_1's auc: 0.856125
[211]	training's auc: 0.872481	valid_1's auc: 0.856157
[212]	training's auc: 0.872518	valid_1's auc: 0.856172
[213]	training's auc: 0.872561	valid_1's auc: 0.856208
[214]	training's auc: 0.872631	valid_1's auc: 0.856229
[215]	training's auc: 0.872707	valid_1's auc: 0.856278
[216]	training's auc: 0.872776	valid_1's auc: 0.856298
[217]	training's auc: 0.87284	valid_1's auc: 0.856313
[218]	training's auc: 0.872878	valid_1's auc: 0.856328
[219]	training's auc: 0.872944	valid_1's auc: 0.85631
[220]	training's auc: 0.873005	valid_1's auc: 0.856314
[221]	training's auc: 0.873087	valid_1's auc: 0.856317
[222]	training's auc: 0.873131	valid_1's auc: 0.856324
[223]	training's auc: 0.873201	valid_1's auc: 0.85632
[224]	training's auc: 0.873244	valid_1's auc: 0.856338
[225]	training's auc: 0.873325	valid_1's auc: 0.856342
[226]	training's auc: 0.873349	valid_1's auc: 0.856354
[227]	training's auc: 0.873459	valid_1's auc: 0.856376
[228]	training's auc: 0.873491	valid_1's auc: 0.856393
[229]	training's auc: 0.87354	valid_1's auc: 0.856396
[230]	training's auc: 0.873576	valid_1's auc: 0.856392
[231]	training's auc: 0.873619	valid_1's auc: 0.856383
[232]	training's auc: 0.873649	valid_1's auc: 0.856375
[233]	training's auc: 0.873689	valid_1's auc: 0.856355
[234]	training's auc: 0.873727	valid_1's auc: 0.856386
[235]	training's auc: 0.873754	valid_1's auc: 0.856406
[236]	training's auc: 0.87379	valid_1's auc: 0.856405
[237]	training's auc: 0.873852	valid_1's auc: 0.856426
[238]	training's auc: 0.873919	valid_1's auc: 0.856413
[239]	training's auc: 0.873977	valid_1's auc: 0.856411
[240]	training's auc: 0.873994	valid_1's auc: 0.856397
[241]	training's auc: 0.87408	valid_1's auc: 0.856411
[242]	training's auc: 0.874148	valid_1's auc: 0.856398
[243]	training's auc: 0.874246	valid_1's auc: 0.856448
[244]	training's auc: 0.874318	valid_1's auc: 0.856467
[245]	training's auc: 0.874353	valid_1's auc: 0.856475
[246]	training's auc: 0.874399	valid_1's auc: 0.856478
[247]	training's auc: 0.874421	valid_1's auc: 0.856501
[248]	training's auc: 0.874456	valid_1's auc: 0.856525
[249]	training's auc: 0.874474	valid_1's auc: 0.856515
[250]	training's auc: 0.874536	valid_1's auc: 0.856518
[251]	training's auc: 0.874601	valid_1's auc: 0.856502
[252]	training's auc: 0.874643	valid_1's auc: 0.856502
[253]	training's auc: 0.874666	valid_1's auc: 0.856522
[254]	training's auc: 0.874707	valid_1's auc: 0.856507
[255]	training's auc: 0.874789	valid_1's auc: 0.856545
[256]	training's auc: 0.874832	valid_1's auc: 0.856573
[257]	training's auc: 0.874873	valid_1's auc: 0.85656
[258]	training's auc: 0.874971	valid_1's auc: 0.856593
[259]	training's auc: 0.875004	valid_1's auc: 0.856582
[260]	training's auc: 0.875045	valid_1's auc: 0.856592
[261]	training's auc: 0.875075	valid_1's auc: 0.856585
[262]	training's auc: 0.875153	valid_1's auc: 0.856622
[263]	training's auc: 0.875184	valid_1's auc: 0.856617
[264]	training's auc: 0.875229	valid_1's auc: 0.856635
[265]	training's auc: 0.87526	valid_1's auc: 0.856631
[266]	training's auc: 0.875316	valid_1's auc: 0.856663
[267]	training's auc: 0.875369	valid_1's auc: 0.856665
[268]	training's auc: 0.875429	valid_1's auc: 0.856667
[269]	training's auc: 0.875465	valid_1's auc: 0.856673
[270]	training's auc: 0.875511	valid_1's auc: 0.856676
[271]	training's auc: 0.875554	valid_1's auc: 0.856664
[272]	training's auc: 0.8756	valid_1's auc: 0.856673
[273]	training's auc: 0.875641	valid_1's auc: 0.856652
[274]	training's auc: 0.87571	valid_1's auc: 0.856684
[275]	training's auc: 0.875749	valid_1's auc: 0.856686
[276]	training's auc: 0.875788	valid_1's auc: 0.856699
[277]	training's auc: 0.875862	valid_1's auc: 0.856698
[278]	training's auc: 0.875917	valid_1's auc: 0.85668
[279]	training's auc: 0.87597	valid_1's auc: 0.856703
[280]	training's auc: 0.876033	valid_1's auc: 0.856698
[281]	training's auc: 0.876081	valid_1's auc: 0.856709
[282]	training's auc: 0.876166	valid_1's auc: 0.856739
[283]	training's auc: 0.876242	valid_1's auc: 0.856758
[284]	training's auc: 0.876294	valid_1's auc: 0.856764
[285]	training's auc: 0.876347	valid_1's auc: 0.856787
[286]	training's auc: 0.876392	valid_1's auc: 0.856765
[287]	training's auc: 0.876453	valid_1's auc: 0.85678
[288]	training's auc: 0.876506	valid_1's auc: 0.856777
[289]	training's auc: 0.876553	valid_1's auc: 0.856794
[290]	training's auc: 0.876605	valid_1's auc: 0.856791
[291]	training's auc: 0.876638	valid_1's auc: 0.856785
[292]	training's auc: 0.876696	valid_1's auc: 0.856842
[293]	training's auc: 0.876758	valid_1's auc: 0.856854
[294]	training's auc: 0.876836	valid_1's auc: 0.856881
[295]	training's auc: 0.876887	valid_1's auc: 0.856882
[296]	training's auc: 0.87694	valid_1's auc: 0.856881
[297]	training's auc: 0.876982	valid_1's auc: 0.856885
[298]	training's auc: 0.877005	valid_1's auc: 0.856909
[299]	training's auc: 0.877057	valid_1's auc: 0.856939
[300]	training's auc: 0.877079	valid_1's auc: 0.856962
[301]	training's auc: 0.877102	valid_1's auc: 0.856991
[302]	training's auc: 0.877146	valid_1's auc: 0.856973
[303]	training's auc: 0.877177	valid_1's auc: 0.856956
[304]	training's auc: 0.877223	valid_1's auc: 0.856957
[305]	training's auc: 0.877266	valid_1's auc: 0.856947
[306]	training's auc: 0.877302	valid_1's auc: 0.856958
[307]	training's auc: 0.877361	valid_1's auc: 0.856978
[308]	training's auc: 0.877424	valid_1's auc: 0.856976
[309]	training's auc: 0.877486	valid_1's auc: 0.856993
[310]	training's auc: 0.877533	valid_1's auc: 0.857005
[311]	training's auc: 0.877568	valid_1's auc: 0.857004
[312]	training's auc: 0.87761	valid_1's auc: 0.857003
[313]	training's auc: 0.877641	valid_1's auc: 0.857013
[314]	training's auc: 0.877672	valid_1's auc: 0.857004
[315]	training's auc: 0.877725	valid_1's auc: 0.857025
[316]	training's auc: 0.877748	valid_1's auc: 0.857018
[317]	training's auc: 0.877786	valid_1's auc: 0.85701
[318]	training's auc: 0.877808	valid_1's auc: 0.857031
[319]	training's auc: 0.877861	valid_1's auc: 0.85705
[320]	training's auc: 0.877923	valid_1's auc: 0.857082
[321]	training's auc: 0.877955	valid_1's auc: 0.857085
[322]	training's auc: 0.878008	valid_1's auc: 0.857073
[323]	training's auc: 0.878084	valid_1's auc: 0.857091
[324]	training's auc: 0.87811	valid_1's auc: 0.857115
[325]	training's auc: 0.878129	valid_1's auc: 0.857124
[326]	training's auc: 0.878169	valid_1's auc: 0.857124
[327]	training's auc: 0.878188	valid_1's auc: 0.857144
[328]	training's auc: 0.878233	valid_1's auc: 0.857134
[329]	training's auc: 0.878292	valid_1's auc: 0.857128
[330]	training's auc: 0.878328	valid_1's auc: 0.857164
[331]	training's auc: 0.878348	valid_1's auc: 0.857172
[332]	training's auc: 0.878374	valid_1's auc: 0.857175
[333]	training's auc: 0.87841	valid_1's auc: 0.857164
[334]	training's auc: 0.878453	valid_1's auc: 0.857175
[335]	training's auc: 0.878487	valid_1's auc: 0.857181
[336]	training's auc: 0.878525	valid_1's auc: 0.857182
[337]	training's auc: 0.878555	valid_1's auc: 0.857218
[338]	training's auc: 0.878595	valid_1's auc: 0.857222
[339]	training's auc: 0.878623	valid_1's auc: 0.857211
[340]	training's auc: 0.878653	valid_1's auc: 0.8572
[341]	training's auc: 0.878681	valid_1's auc: 0.857203
[342]	training's auc: 0.878749	valid_1's auc: 0.857193
[343]	training's auc: 0.878767	valid_1's auc: 0.857205
[344]	training's auc: 0.878799	valid_1's auc: 0.857199
[345]	training's auc: 0.878832	valid_1's auc: 0.857203
[346]	training's auc: 0.878856	valid_1's auc: 0.857178
[347]	training's auc: 0.878901	valid_1's auc: 0.857168
[348]	training's auc: 0.878931	valid_1's auc: 0.857142
[349]	training's auc: 0.878958	valid_1's auc: 0.857178
[350]	training's auc: 0.878988	valid_1's auc: 0.857186
[351]	training's auc: 0.878997	valid_1's auc: 0.857196
[352]	training's auc: 0.879022	valid_1's auc: 0.857212
[353]	training's auc: 0.879052	valid_1's auc: 0.857211
[354]	training's auc: 0.879089	valid_1's auc: 0.857241
[355]	training's auc: 0.879143	valid_1's auc: 0.857249
[356]	training's auc: 0.87915	valid_1's auc: 0.857245
[357]	training's auc: 0.879198	valid_1's auc: 0.857262
[358]	training's auc: 0.879234	valid_1's auc: 0.857266
[359]	training's auc: 0.879265	valid_1's auc: 0.857265
[360]	training's auc: 0.879305	valid_1's auc: 0.85725
[361]	training's auc: 0.879332	valid_1's auc: 0.857256
[362]	training's auc: 0.879355	valid_1's auc: 0.857266
[363]	training's auc: 0.879391	valid_1's auc: 0.85727
[364]	training's auc: 0.879437	valid_1's auc: 0.857259
[365]	training's auc: 0.879445	valid_1's auc: 0.857259
[366]	training's auc: 0.879475	valid_1's auc: 0.857252
[367]	training's auc: 0.879513	valid_1's auc: 0.857232
[368]	training's auc: 0.87955	valid_1's auc: 0.85723
[369]	training's auc: 0.879591	valid_1's auc: 0.857228
[370]	training's auc: 0.879646	valid_1's auc: 0.857233
[371]	training's auc: 0.879684	valid_1's auc: 0.857234
[372]	training's auc: 0.879715	valid_1's auc: 0.857234
[373]	training's auc: 0.879766	valid_1's auc: 0.857266
[374]	training's auc: 0.87982	valid_1's auc: 0.857251
[375]	training's auc: 0.879862	valid_1's auc: 0.857231
[376]	training's auc: 0.879895	valid_1's auc: 0.857234
[377]	training's auc: 0.879937	valid_1's auc: 0.85725
[378]	training's auc: 0.880002	valid_1's auc: 0.857254
[379]	training's auc: 0.880033	valid_1's auc: 0.857248
[380]	training's auc: 0.880106	valid_1's auc: 0.857254
[381]	training's auc: 0.880146	valid_1's auc: 0.857259
[382]	training's auc: 0.880183	valid_1's auc: 0.857264
[383]	training's auc: 0.880227	valid_1's auc: 0.8573
[384]	training's auc: 0.880268	valid_1's auc: 0.857296
[385]	training's auc: 0.880299	valid_1's auc: 0.857296
[386]	training's auc: 0.880328	valid_1's auc: 0.857305
[387]	training's auc: 0.88037	valid_1's auc: 0.857309
[388]	training's auc: 0.880399	valid_1's auc: 0.857319
[389]	training's auc: 0.880449	valid_1's auc: 0.857329
[390]	training's auc: 0.880472	valid_1's auc: 0.857346
[391]	training's auc: 0.880505	valid_1's auc: 0.857336
[392]	training's auc: 0.880524	valid_1's auc: 0.857349
[393]	training's auc: 0.880556	valid_1's auc: 0.857352
[394]	training's auc: 0.880598	valid_1's auc: 0.857338
[395]	training's auc: 0.880616	valid_1's auc: 0.857353
[396]	training's auc: 0.880651	valid_1's auc: 0.857347
[397]	training's auc: 0.880685	valid_1's auc: 0.857341
[398]	training's auc: 0.880715	valid_1's auc: 0.857335
[399]	training's auc: 0.880749	valid_1's auc: 0.857343
[400]	training's auc: 0.880775	valid_1's auc: 0.857335
[401]	training's auc: 0.880793	valid_1's auc: 0.857351
[402]	training's auc: 0.880825	valid_1's auc: 0.857368
[403]	training's auc: 0.880858	valid_1's auc: 0.857369
[404]	training's auc: 0.880886	valid_1's auc: 0.857357
[405]	training's auc: 0.880892	valid_1's auc: 0.857344
[406]	training's auc: 0.880925	valid_1's auc: 0.857336
[407]	training's auc: 0.880956	valid_1's auc: 0.85732
[408]	training's auc: 0.88098	valid_1's auc: 0.857326
[409]	training's auc: 0.881009	valid_1's auc: 0.857325
[410]	training's auc: 0.881035	valid_1's auc: 0.857319
[411]	training's auc: 0.881051	valid_1's auc: 0.857333
[412]	training's auc: 0.881096	valid_1's auc: 0.857335
[413]	training's auc: 0.881139	valid_1's auc: 0.857346
[414]	training's auc: 0.881145	valid_1's auc: 0.857337
[415]	training's auc: 0.881172	valid_1's auc: 0.857339
[416]	training's auc: 0.881214	valid_1's auc: 0.857348
[417]	training's auc: 0.881238	valid_1's auc: 0.857358
[418]	training's auc: 0.881295	valid_1's auc: 0.85738
[419]	training's auc: 0.881324	valid_1's auc: 0.857389
[420]	training's auc: 0.881342	valid_1's auc: 0.857393
[421]	training's auc: 0.881382	valid_1's auc: 0.857404
[422]	training's auc: 0.88141	valid_1's auc: 0.8574
[423]	training's auc: 0.881426	valid_1's auc: 0.857411
[424]	training's auc: 0.881454	valid_1's auc: 0.857437
[425]	training's auc: 0.881474	valid_1's auc: 0.857437
[426]	training's auc: 0.8815	valid_1's auc: 0.857422
[427]	training's auc: 0.881543	valid_1's auc: 0.857439
[428]	training's auc: 0.881573	valid_1's auc: 0.857435
[429]	training's auc: 0.881598	valid_1's auc: 0.857432
[430]	training's auc: 0.881632	valid_1's auc: 0.857438
