[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[236]	training's auc: 0.8669	valid_1's auc: 0.855504
[237]	training's auc: 0.866936	valid_1's auc: 0.855507
[238]	training's auc: 0.866983	valid_1's auc: 0.855516
[239]	training's auc: 0.867027	valid_1's auc: 0.855523
[240]	training's auc: 0.867058	valid_1's auc: 0.855522
[241]	training's auc: 0.86711	valid_1's auc: 0.855529
[242]	training's auc: 0.867138	valid_1's auc: 0.85553
[243]	training's auc: 0.867187	valid_1's auc: 0.855534
[244]	training's auc: 0.867255	valid_1's auc: 0.855559
[245]	training's auc: 0.86729	valid_1's auc: 0.855569
[246]	training's auc: 0.867337	valid_1's auc: 0.855587
[247]	training's auc: 0.867387	valid_1's auc: 0.855592
[248]	training's auc: 0.86744	valid_1's auc: 0.855598
[249]	training's auc: 0.867483	valid_1's auc: 0.855606
[250]	training's auc: 0.867526	valid_1's auc: 0.855622
[251]	training's auc: 0.867585	valid_1's auc: 0.855632
[252]	training's auc: 0.86765	valid_1's auc: 0.855656
[253]	training's auc: 0.86771	valid_1's auc: 0.855692
[254]	training's auc: 0.86774	valid_1's auc: 0.855696
[255]	training's auc: 0.86777	valid_1's auc: 0.855704
[256]	training's auc: 0.867795	valid_1's auc: 0.855706
[257]	training's auc: 0.867824	valid_1's auc: 0.855709
[258]	training's auc: 0.867874	valid_1's auc: 0.855735
[259]	training's auc: 0.867939	valid_1's auc: 0.855752
[260]	training's auc: 0.867963	valid_1's auc: 0.855754
[261]	training's auc: 0.868035	valid_1's auc: 0.855799
[262]	training's auc: 0.86809	valid_1's auc: 0.855818
[263]	training's auc: 0.868121	valid_1's auc: 0.855826
[264]	training's auc: 0.868161	valid_1's auc: 0.85584
[265]	training's auc: 0.86823	valid_1's auc: 0.855856
[266]	training's auc: 0.86827	valid_1's auc: 0.855856
[267]	training's auc: 0.86833	valid_1's auc: 0.855884
[268]	training's auc: 0.868394	valid_1's auc: 0.855907
[269]	training's auc: 0.868438	valid_1's auc: 0.855923
[270]	training's auc: 0.868505	valid_1's auc: 0.855965
[271]	training's auc: 0.868541	valid_1's auc: 0.855968
[272]	training's auc: 0.868581	valid_1's auc: 0.855969
[273]	training's auc: 0.868623	valid_1's auc: 0.855968
[274]	training's auc: 0.86865	valid_1's auc: 0.855967
[275]	training's auc: 0.868683	valid_1's auc: 0.855962
[276]	training's auc: 0.868706	valid_1's auc: 0.855958
[277]	training's auc: 0.868747	valid_1's auc: 0.855959
[278]	training's auc: 0.868769	valid_1's auc: 0.855955
[279]	training's auc: 0.868791	valid_1's auc: 0.855953
[280]	training's auc: 0.868845	valid_1's auc: 0.855958
[281]	training's auc: 0.868879	valid_1's auc: 0.855964
[282]	training's auc: 0.868918	valid_1's auc: 0.855964
[283]	training's auc: 0.868967	valid_1's auc: 0.855981
[284]	training's auc: 0.869005	valid_1's auc: 0.855988
[285]	training's auc: 0.869046	valid_1's auc: 0.855987
[286]	training's auc: 0.869073	valid_1's auc: 0.855994
[287]	training's auc: 0.869129	valid_1's auc: 0.856006
[288]	training's auc: 0.869177	valid_1's auc: 0.856015
[289]	training's auc: 0.869204	valid_1's auc: 0.856015
[290]	training's auc: 0.869239	valid_1's auc: 0.856013
[291]	training's auc: 0.869265	valid_1's auc: 0.856009
[292]	training's auc: 0.86929	valid_1's auc: 0.856008
[293]	training's auc: 0.869309	valid_1's auc: 0.856003
[294]	training's auc: 0.869331	valid_1's auc: 0.856
[295]	training's auc: 0.869387	valid_1's auc: 0.856017
[296]	training's auc: 0.869427	valid_1's auc: 0.856023
[297]	training's auc: 0.869468	valid_1's auc: 0.85602
[298]	training's auc: 0.869509	valid_1's auc: 0.856035
[299]	training's auc: 0.869548	valid_1's auc: 0.85603
[300]	training's auc: 0.869582	valid_1's auc: 0.856042
[301]	training's auc: 0.86964	valid_1's auc: 0.856058
[302]	training's auc: 0.869693	valid_1's auc: 0.85608
[303]	training's auc: 0.869751	valid_1's auc: 0.8561
[304]	training's auc: 0.869797	valid_1's auc: 0.856105
[305]	training's auc: 0.869827	valid_1's auc: 0.856111
[306]	training's auc: 0.869877	valid_1's auc: 0.856123
[307]	training's auc: 0.869904	valid_1's auc: 0.856123
[308]	training's auc: 0.86993	valid_1's auc: 0.856124
[309]	training's auc: 0.869978	valid_1's auc: 0.856134
[310]	training's auc: 0.870001	valid_1's auc: 0.856133
[311]	training's auc: 0.870044	valid_1's auc: 0.856136
[312]	training's auc: 0.870077	valid_1's auc: 0.85614
[313]	training's auc: 0.870098	valid_1's auc: 0.856136
[314]	training's auc: 0.870132	valid_1's auc: 0.856147
[315]	training's auc: 0.870155	valid_1's auc: 0.856148
[316]	training's auc: 0.87018	valid_1's auc: 0.856142
[317]	training's auc: 0.870216	valid_1's auc: 0.856163
[318]	training's auc: 0.870249	valid_1's auc: 0.856166
[319]	training's auc: 0.870275	valid_1's auc: 0.856161
[320]	training's auc: 0.870297	valid_1's auc: 0.856159
[321]	training's auc: 0.870331	valid_1's auc: 0.856161
[322]	training's auc: 0.870372	valid_1's auc: 0.856168
[323]	training's auc: 0.870401	valid_1's auc: 0.856176
[324]	training's auc: 0.870456	valid_1's auc: 0.856191
[325]	training's auc: 0.870476	valid_1's auc: 0.856186
[326]	training's auc: 0.870498	valid_1's auc: 0.856183
[327]	training's auc: 0.870518	valid_1's auc: 0.856177
[328]	training's auc: 0.870543	valid_1's auc: 0.856173
[329]	training's auc: 0.870602	valid_1's auc: 0.856206
[330]	training's auc: 0.870616	valid_1's auc: 0.856198
[331]	training's auc: 0.870636	valid_1's auc: 0.856196
[332]	training's auc: 0.870658	valid_1's auc: 0.856189
[333]	training's auc: 0.870716	valid_1's auc: 0.856202
[334]	training's auc: 0.870767	valid_1's auc: 0.856209
[335]	training's auc: 0.870818	valid_1's auc: 0.856218
[336]	training's auc: 0.870873	valid_1's auc: 0.856229
[337]	training's auc: 0.870902	valid_1's auc: 0.856231
