[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[277]	training's auc: 0.861386	valid_1's auc: 0.856284
[278]	training's auc: 0.861421	valid_1's auc: 0.856292
[279]	training's auc: 0.861455	valid_1's auc: 0.8563
[280]	training's auc: 0.861517	valid_1's auc: 0.856332
[281]	training's auc: 0.861562	valid_1's auc: 0.856361
[282]	training's auc: 0.861597	valid_1's auc: 0.856377
[283]	training's auc: 0.861612	valid_1's auc: 0.856388
[284]	training's auc: 0.861632	valid_1's auc: 0.856395
[285]	training's auc: 0.861671	valid_1's auc: 0.856402
[286]	training's auc: 0.861742	valid_1's auc: 0.856453
[287]	training's auc: 0.861788	valid_1's auc: 0.856479
[288]	training's auc: 0.861839	valid_1's auc: 0.856523
[289]	training's auc: 0.861887	valid_1's auc: 0.856548
[290]	training's auc: 0.861906	valid_1's auc: 0.856548
[291]	training's auc: 0.861947	valid_1's auc: 0.856571
[292]	training's auc: 0.861973	valid_1's auc: 0.856584
[293]	training's auc: 0.862	valid_1's auc: 0.856621
[294]	training's auc: 0.862025	valid_1's auc: 0.856635
[295]	training's auc: 0.862063	valid_1's auc: 0.856655
[296]	training's auc: 0.862122	valid_1's auc: 0.856699
[297]	training's auc: 0.862164	valid_1's auc: 0.856726
[298]	training's auc: 0.86223	valid_1's auc: 0.85677
[299]	training's auc: 0.86225	valid_1's auc: 0.856773
[300]	training's auc: 0.862281	valid_1's auc: 0.856808
[301]	training's auc: 0.862311	valid_1's auc: 0.856814
[302]	training's auc: 0.862335	valid_1's auc: 0.856817
[303]	training's auc: 0.862346	valid_1's auc: 0.856823
[304]	training's auc: 0.862362	valid_1's auc: 0.856839
[305]	training's auc: 0.862415	valid_1's auc: 0.85687
[306]	training's auc: 0.862458	valid_1's auc: 0.856893
[307]	training's auc: 0.862482	valid_1's auc: 0.856917
[308]	training's auc: 0.862502	valid_1's auc: 0.856931
[309]	training's auc: 0.862526	valid_1's auc: 0.856925
[310]	training's auc: 0.862586	valid_1's auc: 0.856959
[311]	training's auc: 0.862605	valid_1's auc: 0.856966
[312]	training's auc: 0.862669	valid_1's auc: 0.857004
[313]	training's auc: 0.862719	valid_1's auc: 0.857027
[314]	training's auc: 0.862754	valid_1's auc: 0.857018
[315]	training's auc: 0.862768	valid_1's auc: 0.85703
[316]	training's auc: 0.86282	valid_1's auc: 0.85706
[317]	training's auc: 0.862873	valid_1's auc: 0.857095
[318]	training's auc: 0.86291	valid_1's auc: 0.857108
[319]	training's auc: 0.862936	valid_1's auc: 0.857112
[320]	training's auc: 0.862968	valid_1's auc: 0.85713
[321]	training's auc: 0.862993	valid_1's auc: 0.857156
[322]	training's auc: 0.863022	valid_1's auc: 0.857158
[323]	training's auc: 0.863062	valid_1's auc: 0.85717
[324]	training's auc: 0.863074	valid_1's auc: 0.857183
[325]	training's auc: 0.863096	valid_1's auc: 0.857198
[326]	training's auc: 0.863132	valid_1's auc: 0.857216
[327]	training's auc: 0.863148	valid_1's auc: 0.857221
[328]	training's auc: 0.863192	valid_1's auc: 0.857247
[329]	training's auc: 0.86323	valid_1's auc: 0.857268
[330]	training's auc: 0.863255	valid_1's auc: 0.857272
[331]	training's auc: 0.863295	valid_1's auc: 0.85729
[332]	training's auc: 0.863318	valid_1's auc: 0.857301
[333]	training's auc: 0.863362	valid_1's auc: 0.857331
[334]	training's auc: 0.863391	valid_1's auc: 0.857346
[335]	training's auc: 0.863404	valid_1's auc: 0.857348
[336]	training's auc: 0.863438	valid_1's auc: 0.857372
[337]	training's auc: 0.863466	valid_1's auc: 0.85737
[338]	training's auc: 0.863517	valid_1's auc: 0.8574
[339]	training's auc: 0.863548	valid_1's auc: 0.857424
[340]	training's auc: 0.863566	valid_1's auc: 0.857433
[341]	training's auc: 0.863598	valid_1's auc: 0.857469
[342]	training's auc: 0.863668	valid_1's auc: 0.857511
[343]	training's auc: 0.863706	valid_1's auc: 0.857539
[344]	training's auc: 0.863759	valid_1's auc: 0.857571
[345]	training's auc: 0.863789	valid_1's auc: 0.857585
[346]	training's auc: 0.863826	valid_1's auc: 0.85761
[347]	training's auc: 0.863852	valid_1's auc: 0.85764
[348]	training's auc: 0.863876	valid_1's auc: 0.857644
[349]	training's auc: 0.863907	valid_1's auc: 0.857659
[350]	training's auc: 0.863932	valid_1's auc: 0.857661
[351]	training's auc: 0.863946	valid_1's auc: 0.85767
[352]	training's auc: 0.863995	valid_1's auc: 0.857692
[353]	training's auc: 0.864041	valid_1's auc: 0.857711
[354]	training's auc: 0.864052	valid_1's auc: 0.857721
[355]	training's auc: 0.864103	valid_1's auc: 0.857752
[356]	training's auc: 0.86412	valid_1's auc: 0.857771
[357]	training's auc: 0.864147	valid_1's auc: 0.857773
[358]	training's auc: 0.864172	valid_1's auc: 0.857775
[359]	training's auc: 0.864199	valid_1's auc: 0.857791
[360]	training's auc: 0.864235	valid_1's auc: 0.85782
[361]	training's auc: 0.864259	valid_1's auc: 0.857829
[362]	training's auc: 0.864272	valid_1's auc: 0.857841
[363]	training's auc: 0.86431	valid_1's auc: 0.857857
[364]	training's auc: 0.864328	valid_1's auc: 0.857861
[365]	training's auc: 0.864345	valid_1's auc: 0.857868
[366]	training's auc: 0.864381	valid_1's auc: 0.857885
[367]	training's auc: 0.864414	valid_1's auc: 0.857898
[368]	training's auc: 0.864452	valid_1's auc: 0.857914
[369]	training's auc: 0.864476	valid_1's auc: 0.857928
[370]	training's auc: 0.864493	valid_1's auc: 0.857933
[371]	training's auc: 0.864507	valid_1's auc: 0.85793
[372]	training's auc: 0.864527	valid_1's auc: 0.857922
[373]	training's auc: 0.864541	valid_1's auc: 0.85793
[374]	training's auc: 0.864556	valid_1's auc: 0.857946
[375]	training's auc: 0.864577	valid_1's auc: 0.857955
[376]	training's auc: 0.864601	valid_1's auc: 0.857961
[377]	training's auc: 0.864634	valid_1's auc: 0.85798
[378]	training's auc: 0.864658	valid_1's auc: 0.857999
[379]	training's auc: 0.864695	valid_1's auc: 0.85801
[380]	training's auc: 0.864724	valid_1's auc: 0.858023
[381]	training's auc: 0.864764	valid_1's auc: 0.858048
[382]	training's auc: 0.864795	valid_1's auc: 0.858072
[383]	training's auc: 0.864823	valid_1's auc: 0.85808
[384]	training's auc: 0.86484	valid_1's auc: 0.858094
[385]	training's auc: 0.864861	valid_1's auc: 0.858092
[386]	training's auc: 0.864883	valid_1's auc: 0.858114
[387]	training's auc: 0.864893	valid_1's auc: 0.858116
[388]	training's auc: 0.864916	valid_1's auc: 0.85814
[389]	training's auc: 0.864933	valid_1's auc: 0.858145
[390]	training's auc: 0.864977	valid_1's auc: 0.858168
[391]	training's auc: 0.865001	valid_1's auc: 0.858178
[392]	training's auc: 0.865024	valid_1's auc: 0.858186
[393]	training's auc: 0.86504	valid_1's auc: 0.858197
[394]	training's auc: 0.865056	valid_1's auc: 0.858206
[395]	training's auc: 0.865087	valid_1's auc: 0.858223
[396]	training's auc: 0.8651	valid_1's auc: 0.858228
