[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[219]	training's auc: 0.879495	valid_1's auc: 0.833477
[220]	training's auc: 0.879585	valid_1's auc: 0.833468
[221]	training's auc: 0.879658	valid_1's auc: 0.833477
[222]	training's auc: 0.879714	valid_1's auc: 0.833504
[223]	training's auc: 0.879758	valid_1's auc: 0.833507
[224]	training's auc: 0.879821	valid_1's auc: 0.833507
[225]	training's auc: 0.879915	valid_1's auc: 0.833483
[226]	training's auc: 0.879934	valid_1's auc: 0.833482
[227]	training's auc: 0.879999	valid_1's auc: 0.833481
[228]	training's auc: 0.880023	valid_1's auc: 0.83352
[229]	training's auc: 0.880078	valid_1's auc: 0.833478
[230]	training's auc: 0.880145	valid_1's auc: 0.833463
[231]	training's auc: 0.880212	valid_1's auc: 0.833486
[232]	training's auc: 0.880233	valid_1's auc: 0.833422
[233]	training's auc: 0.88029	valid_1's auc: 0.83341
[234]	training's auc: 0.880325	valid_1's auc: 0.833458
[235]	training's auc: 0.880339	valid_1's auc: 0.833475
[236]	training's auc: 0.88039	valid_1's auc: 0.83346
[237]	training's auc: 0.880458	valid_1's auc: 0.833468
[238]	training's auc: 0.880477	valid_1's auc: 0.833491
[239]	training's auc: 0.880545	valid_1's auc: 0.833447
[240]	training's auc: 0.880574	valid_1's auc: 0.833473
[241]	training's auc: 0.880635	valid_1's auc: 0.833497
[242]	training's auc: 0.880707	valid_1's auc: 0.833502
[243]	training's auc: 0.880767	valid_1's auc: 0.83352
[244]	training's auc: 0.880867	valid_1's auc: 0.833481
[245]	training's auc: 0.880905	valid_1's auc: 0.833551
[246]	training's auc: 0.880931	valid_1's auc: 0.833602
[247]	training's auc: 0.880954	valid_1's auc: 0.833616
[248]	training's auc: 0.880973	valid_1's auc: 0.833636
[249]	training's auc: 0.880992	valid_1's auc: 0.833586
[250]	training's auc: 0.881035	valid_1's auc: 0.833655
[251]	training's auc: 0.881122	valid_1's auc: 0.833596
[252]	training's auc: 0.881158	valid_1's auc: 0.833588
[253]	training's auc: 0.88117	valid_1's auc: 0.833577
[254]	training's auc: 0.881225	valid_1's auc: 0.833578
[255]	training's auc: 0.881288	valid_1's auc: 0.833563
[256]	training's auc: 0.881346	valid_1's auc: 0.833568
[257]	training's auc: 0.881416	valid_1's auc: 0.833549
[258]	training's auc: 0.881531	valid_1's auc: 0.833665
[259]	training's auc: 0.881585	valid_1's auc: 0.833624
[260]	training's auc: 0.881656	valid_1's auc: 0.833617
[261]	training's auc: 0.881699	valid_1's auc: 0.833638
[262]	training's auc: 0.88171	valid_1's auc: 0.833621
[263]	training's auc: 0.881763	valid_1's auc: 0.833621
[264]	training's auc: 0.881814	valid_1's auc: 0.833636
[265]	training's auc: 0.881865	valid_1's auc: 0.833594
[266]	training's auc: 0.881907	valid_1's auc: 0.833591
[267]	training's auc: 0.881989	valid_1's auc: 0.833561
[268]	training's auc: 0.882044	valid_1's auc: 0.833588
[269]	training's auc: 0.882086	valid_1's auc: 0.833633
[270]	training's auc: 0.882168	valid_1's auc: 0.833731
[271]	training's auc: 0.882239	valid_1's auc: 0.833699
[272]	training's auc: 0.882315	valid_1's auc: 0.833759
[273]	training's auc: 0.882338	valid_1's auc: 0.833756
[274]	training's auc: 0.882386	valid_1's auc: 0.833806
[275]	training's auc: 0.882405	valid_1's auc: 0.833829
[276]	training's auc: 0.882482	valid_1's auc: 0.83386
[277]	training's auc: 0.882571	valid_1's auc: 0.833801
[278]	training's auc: 0.882589	valid_1's auc: 0.833852
[279]	training's auc: 0.882599	valid_1's auc: 0.833909
[280]	training's auc: 0.88263	valid_1's auc: 0.833995
[281]	training's auc: 0.882661	valid_1's auc: 0.833981
[282]	training's auc: 0.882683	valid_1's auc: 0.833944
[283]	training's auc: 0.882756	valid_1's auc: 0.833919
[284]	training's auc: 0.882775	valid_1's auc: 0.833949
[285]	training's auc: 0.882788	valid_1's auc: 0.833949
[286]	training's auc: 0.882858	valid_1's auc: 0.833961
[287]	training's auc: 0.882938	valid_1's auc: 0.833926
[288]	training's auc: 0.882956	valid_1's auc: 0.833937
[289]	training's auc: 0.882995	valid_1's auc: 0.833974
[290]	training's auc: 0.883027	valid_1's auc: 0.833999
[291]	training's auc: 0.883045	valid_1's auc: 0.834014
[292]	training's auc: 0.883055	valid_1's auc: 0.834006
[293]	training's auc: 0.883108	valid_1's auc: 0.833967
[294]	training's auc: 0.883126	valid_1's auc: 0.833982
[295]	training's auc: 0.883198	valid_1's auc: 0.834014
[296]	training's auc: 0.883229	valid_1's auc: 0.834034
[297]	training's auc: 0.883276	valid_1's auc: 0.834023
[298]	training's auc: 0.883299	valid_1's auc: 0.83405
[299]	training's auc: 0.883341	valid_1's auc: 0.834124
[300]	training's auc: 0.883362	valid_1's auc: 0.834112
[301]	training's auc: 0.88337	valid_1's auc: 0.834153
[302]	training's auc: 0.883383	valid_1's auc: 0.834138
[303]	training's auc: 0.883435	valid_1's auc: 0.834137
[304]	training's auc: 0.883528	valid_1's auc: 0.834162
[305]	training's auc: 0.883556	valid_1's auc: 0.834266
[306]	training's auc: 0.883572	valid_1's auc: 0.83428
[307]	training's auc: 0.883582	valid_1's auc: 0.834254
[308]	training's auc: 0.883599	valid_1's auc: 0.834285
[309]	training's auc: 0.883654	valid_1's auc: 0.834297
[310]	training's auc: 0.883682	valid_1's auc: 0.834294
[311]	training's auc: 0.883693	valid_1's auc: 0.834273
[312]	training's auc: 0.883751	valid_1's auc: 0.834283
[313]	training's auc: 0.883802	valid_1's auc: 0.83429
[314]	training's auc: 0.883873	valid_1's auc: 0.834238
[315]	training's auc: 0.883912	valid_1's auc: 0.834307
[316]	training's auc: 0.883966	valid_1's auc: 0.834332
[317]	training's auc: 0.884025	valid_1's auc: 0.834255
[318]	training's auc: 0.884037	valid_1's auc: 0.834251
[319]	training's auc: 0.884116	valid_1's auc: 0.834257
[320]	training's auc: 0.884165	valid_1's auc: 0.834216
[321]	training's auc: 0.884235	valid_1's auc: 0.834256
[322]	training's auc: 0.884297	valid_1's auc: 0.834321
[323]	training's auc: 0.884317	valid_1's auc: 0.834287
[324]	training's auc: 0.88434	valid_1's auc: 0.834318
[325]	training's auc: 0.884351	valid_1's auc: 0.834338
[326]	training's auc: 0.884411	valid_1's auc: 0.834314
[327]	training's auc: 0.88443	valid_1's auc: 0.834312
[328]	training's auc: 0.88451	valid_1's auc: 0.834383
[329]	training's auc: 0.884528	valid_1's auc: 0.834394
[330]	training's auc: 0.88457	valid_1's auc: 0.834479
[331]	training's auc: 0.884588	valid_1's auc: 0.834472
[332]	training's auc: 0.884602	valid_1's auc: 0.834492
[333]	training's auc: 0.884643	valid_1's auc: 0.834497
[334]	training's auc: 0.884697	valid_1's auc: 0.834474
[335]	training's auc: 0.884774	valid_1's auc: 0.834491
[336]	training's auc: 0.884828	valid_1's auc: 0.834437
[337]	training's auc: 0.884851	valid_1's auc: 0.83445
[338]	training's auc: 0.884867	valid_1's auc: 0.83445
[339]	training's auc: 0.884886	valid_1's auc: 0.834446
[340]	training's auc: 0.884969	valid_1's auc: 0.834454
[341]	training's auc: 0.885019	valid_1's auc: 0.834451
[342]	training's auc: 0.885071	valid_1's auc: 0.834424
[343]	training's auc: 0.885087	valid_1's auc: 0.834424
[344]	training's auc: 0.885157	valid_1's auc: 0.834449
[345]	training's auc: 0.885177	valid_1's auc: 0.834445
[346]	training's auc: 0.885226	valid_1's auc: 0.834462
[347]	training's auc: 0.885243	valid_1's auc: 0.834444
[348]	training's auc: 0.885321	valid_1's auc: 0.834433
[349]	training's auc: 0.885339	valid_1's auc: 0.83446
[350]	training's auc: 0.885354	valid_1's auc: 0.834473
[351]	training's auc: 0.885367	valid_1's auc: 0.83448
[352]	training's auc: 0.88542	valid_1's auc: 0.834484
[353]	training's auc: 0.88545	valid_1's auc: 0.834499
[354]	training's auc: 0.885473	valid_1's auc: 0.834495
[355]	training's auc: 0.885554	valid_1's auc: 0.834455
[356]	training's auc: 0.885569	valid_1's auc: 0.834446
[357]	training's auc: 0.885614	valid_1's auc: 0.834483
[358]	training's auc: 0.885657	valid_1's auc: 0.834526
[359]	training's auc: 0.885702	valid_1's auc: 0.834543
[360]	training's auc: 0.885785	valid_1's auc: 0.834557
[361]	training's auc: 0.885836	valid_1's auc: 0.834554
[362]	training's auc: 0.885854	valid_1's auc: 0.834582
[363]	training's auc: 0.885869	valid_1's auc: 0.834622
[364]	training's auc: 0.885941	valid_1's auc: 0.83464
[365]	training's auc: 0.885947	valid_1's auc: 0.834658
[366]	training's auc: 0.885964	valid_1's auc: 0.834646
[367]	training's auc: 0.886033	valid_1's auc: 0.834641
[368]	training's auc: 0.886077	valid_1's auc: 0.834633
[369]	training's auc: 0.886087	valid_1's auc: 0.834623
[370]	training's auc: 0.886147	valid_1's auc: 0.83463
[371]	training's auc: 0.886183	valid_1's auc: 0.834582
[372]	training's auc: 0.886194	valid_1's auc: 0.834589
[373]	training's auc: 0.886205	valid_1's auc: 0.834598
[374]	training's auc: 0.886218	valid_1's auc: 0.8346
[375]	training's auc: 0.886228	valid_1's auc: 0.834614
[376]	training's auc: 0.886283	valid_1's auc: 0.834617
[377]	training's auc: 0.886302	valid_1's auc: 0.834625
[378]	training's auc: 0.886362	valid_1's auc: 0.834585
[379]	training's auc: 0.886381	valid_1's auc: 0.83459
[380]	training's auc: 0.886438	valid_1's auc: 0.834627
[381]	training's auc: 0.886494	valid_1's auc: 0.83464
[382]	training's auc: 0.886508	valid_1's auc: 0.834641
[383]	training's auc: 0.886555	valid_1's auc: 0.834613
[384]	training's auc: 0.886579	valid_1's auc: 0.834569
[385]	training's auc: 0.886631	valid_1's auc: 0.834597
[386]	training's auc: 0.886638	valid_1's auc: 0.834591
[387]	training's auc: 0.886684	valid_1's auc: 0.83458
[388]	training's auc: 0.886737	valid_1's auc: 0.834622
[389]	training's auc: 0.886753	valid_1's auc: 0.834575
[390]	training's auc: 0.886762	valid_1's auc: 0.834603
[391]	training's auc: 0.886835	valid_1's auc: 0.834604
[392]	training's auc: 0.88688	valid_1's auc: 0.834617
[393]	training's auc: 0.886911	valid_1's auc: 0.834599
[394]	training's auc: 0.886983	valid_1's auc: 0.834591
[395]	training's auc: 0.886998	valid_1's auc: 0.834591
