[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[290]	training's auc: 0.879633	valid_1's auc: 0.860612
[291]	training's auc: 0.879706	valid_1's auc: 0.86062
[292]	training's auc: 0.879737	valid_1's auc: 0.860616
[293]	training's auc: 0.879792	valid_1's auc: 0.860605
[294]	training's auc: 0.879854	valid_1's auc: 0.86064
[295]	training's auc: 0.879902	valid_1's auc: 0.860646
[296]	training's auc: 0.879949	valid_1's auc: 0.860647
[297]	training's auc: 0.88001	valid_1's auc: 0.86066
[298]	training's auc: 0.880035	valid_1's auc: 0.860657
[299]	training's auc: 0.880073	valid_1's auc: 0.86066
[300]	training's auc: 0.880095	valid_1's auc: 0.860698
[301]	training's auc: 0.880132	valid_1's auc: 0.860689
[302]	training's auc: 0.880196	valid_1's auc: 0.860704
[303]	training's auc: 0.88022	valid_1's auc: 0.860721
[304]	training's auc: 0.880246	valid_1's auc: 0.860751
[305]	training's auc: 0.880311	valid_1's auc: 0.860789
[306]	training's auc: 0.880355	valid_1's auc: 0.860785
[307]	training's auc: 0.880442	valid_1's auc: 0.860825
[308]	training's auc: 0.880508	valid_1's auc: 0.860848
[309]	training's auc: 0.880544	valid_1's auc: 0.86085
[310]	training's auc: 0.880595	valid_1's auc: 0.860862
[311]	training's auc: 0.88063	valid_1's auc: 0.860865
[312]	training's auc: 0.880664	valid_1's auc: 0.860861
[313]	training's auc: 0.880709	valid_1's auc: 0.860892
[314]	training's auc: 0.880753	valid_1's auc: 0.860893
[315]	training's auc: 0.880769	valid_1's auc: 0.860905
[316]	training's auc: 0.880835	valid_1's auc: 0.860917
[317]	training's auc: 0.88089	valid_1's auc: 0.860902
[318]	training's auc: 0.880936	valid_1's auc: 0.860907
[319]	training's auc: 0.880992	valid_1's auc: 0.86091
[320]	training's auc: 0.88105	valid_1's auc: 0.860901
[321]	training's auc: 0.881097	valid_1's auc: 0.860909
[322]	training's auc: 0.881148	valid_1's auc: 0.860932
[323]	training's auc: 0.881178	valid_1's auc: 0.860928
[324]	training's auc: 0.881215	valid_1's auc: 0.860948
[325]	training's auc: 0.881295	valid_1's auc: 0.86099
[326]	training's auc: 0.881326	valid_1's auc: 0.860992
[327]	training's auc: 0.881371	valid_1's auc: 0.860982
[328]	training's auc: 0.881403	valid_1's auc: 0.860973
[329]	training's auc: 0.881444	valid_1's auc: 0.860971
[330]	training's auc: 0.881483	valid_1's auc: 0.86098
[331]	training's auc: 0.881537	valid_1's auc: 0.861
[332]	training's auc: 0.881568	valid_1's auc: 0.860992
[333]	training's auc: 0.881612	valid_1's auc: 0.861008
[334]	training's auc: 0.881651	valid_1's auc: 0.861003
[335]	training's auc: 0.881678	valid_1's auc: 0.861006
[336]	training's auc: 0.881713	valid_1's auc: 0.861017
[337]	training's auc: 0.881767	valid_1's auc: 0.861007
[338]	training's auc: 0.881817	valid_1's auc: 0.861016
[339]	training's auc: 0.881857	valid_1's auc: 0.861024
[340]	training's auc: 0.88189	valid_1's auc: 0.861034
[341]	training's auc: 0.881938	valid_1's auc: 0.861059
[342]	training's auc: 0.881961	valid_1's auc: 0.861054
[343]	training's auc: 0.882007	valid_1's auc: 0.861068
[344]	training's auc: 0.882014	valid_1's auc: 0.861067
[345]	training's auc: 0.882049	valid_1's auc: 0.861065
[346]	training's auc: 0.882096	valid_1's auc: 0.861066
[347]	training's auc: 0.88212	valid_1's auc: 0.86109
[348]	training's auc: 0.882164	valid_1's auc: 0.8611
[349]	training's auc: 0.882218	valid_1's auc: 0.861108
[350]	training's auc: 0.882271	valid_1's auc: 0.861106
[351]	training's auc: 0.882309	valid_1's auc: 0.861109
[352]	training's auc: 0.882372	valid_1's auc: 0.861117
[353]	training's auc: 0.882409	valid_1's auc: 0.861121
[354]	training's auc: 0.88243	valid_1's auc: 0.861141
[355]	training's auc: 0.882472	valid_1's auc: 0.861141
[356]	training's auc: 0.882488	valid_1's auc: 0.861163
[357]	training's auc: 0.882506	valid_1's auc: 0.861161
[358]	training's auc: 0.88255	valid_1's auc: 0.861165
[359]	training's auc: 0.882593	valid_1's auc: 0.861168
[360]	training's auc: 0.882631	valid_1's auc: 0.861173
[361]	training's auc: 0.882664	valid_1's auc: 0.861171
[362]	training's auc: 0.882678	valid_1's auc: 0.861176
[363]	training's auc: 0.882731	valid_1's auc: 0.861177
[364]	training's auc: 0.882765	valid_1's auc: 0.861186
[365]	training's auc: 0.882772	valid_1's auc: 0.861185
[366]	training's auc: 0.882793	valid_1's auc: 0.861199
[367]	training's auc: 0.882837	valid_1's auc: 0.861206
[368]	training's auc: 0.882883	valid_1's auc: 0.861201
[369]	training's auc: 0.882915	valid_1's auc: 0.861208
[370]	training's auc: 0.882966	valid_1's auc: 0.861234
[371]	training's auc: 0.882995	valid_1's auc: 0.861228
[372]	training's auc: 0.883017	valid_1's auc: 0.861226
[373]	training's auc: 0.883046	valid_1's auc: 0.86124
[374]	training's auc: 0.883067	valid_1's auc: 0.861264
[375]	training's auc: 0.883101	valid_1's auc: 0.861284
[376]	training's auc: 0.883135	valid_1's auc: 0.861285
[377]	training's auc: 0.883175	valid_1's auc: 0.861283
[378]	training's auc: 0.883204	valid_1's auc: 0.861274
[379]	training's auc: 0.883243	valid_1's auc: 0.861266
[380]	training's auc: 0.883277	valid_1's auc: 0.861284
[381]	training's auc: 0.883313	valid_1's auc: 0.861305
[382]	training's auc: 0.883362	valid_1's auc: 0.861321
[383]	training's auc: 0.883404	valid_1's auc: 0.86133
[384]	training's auc: 0.883447	valid_1's auc: 0.86135
[385]	training's auc: 0.883491	valid_1's auc: 0.861337
[386]	training's auc: 0.883513	valid_1's auc: 0.861363
[387]	training's auc: 0.883521	valid_1's auc: 0.861366
[388]	training's auc: 0.883572	valid_1's auc: 0.861371
[389]	training's auc: 0.883609	valid_1's auc: 0.861366
[390]	training's auc: 0.883654	valid_1's auc: 0.861391
[391]	training's auc: 0.883708	valid_1's auc: 0.861385
[392]	training's auc: 0.883745	valid_1's auc: 0.861386
[393]	training's auc: 0.883777	valid_1's auc: 0.861386
[394]	training's auc: 0.883816	valid_1's auc: 0.86139
[395]	training's auc: 0.883851	valid_1's auc: 0.861389
[396]	training's auc: 0.883857	valid_1's auc: 0.861385
[397]	training's auc: 0.883879	valid_1's auc: 0.861396
[398]	training's auc: 0.883907	valid_1's auc: 0.86139
[399]	training's auc: 0.88394	valid_1's auc: 0.861385
[400]	training's auc: 0.883988	valid_1's auc: 0.861397
[401]	training's auc: 0.884019	valid_1's auc: 0.861398
[402]	training's auc: 0.884024	valid_1's auc: 0.861392
[403]	training's auc: 0.884057	valid_1's auc: 0.861402
[404]	training's auc: 0.884077	valid_1's auc: 0.861422
[405]	training's auc: 0.884106	valid_1's auc: 0.86143
[406]	training's auc: 0.884167	valid_1's auc: 0.861434
[407]	training's auc: 0.884177	valid_1's auc: 0.861433
[408]	training's auc: 0.884214	valid_1's auc: 0.861438
[409]	training's auc: 0.884248	valid_1's auc: 0.861436
[410]	training's auc: 0.884288	valid_1's auc: 0.861444
[411]	training's auc: 0.884295	valid_1's auc: 0.861439
[412]	training's auc: 0.884333	valid_1's auc: 0.86144
[413]	training's auc: 0.884368	valid_1's auc: 0.861439
