[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'learning_rate' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'max_depth' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'min_data_in_leaf' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'feature_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_fraction' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'bagging_freq' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l1' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'lambda_l2' was locked by 'sweep' (ignored update).
[262]	training's auc: 0.873131	valid_1's auc: 0.829555
[263]	training's auc: 0.873153	valid_1's auc: 0.829532
[264]	training's auc: 0.873202	valid_1's auc: 0.829548
[265]	training's auc: 0.873229	valid_1's auc: 0.829518
[266]	training's auc: 0.873281	valid_1's auc: 0.82949
[267]	training's auc: 0.873335	valid_1's auc: 0.829444
[268]	training's auc: 0.873386	valid_1's auc: 0.829417
[269]	training's auc: 0.873458	valid_1's auc: 0.829374
[270]	training's auc: 0.87346	valid_1's auc: 0.82934
[271]	training's auc: 0.873518	valid_1's auc: 0.829378
[272]	training's auc: 0.873567	valid_1's auc: 0.82946
[273]	training's auc: 0.873572	valid_1's auc: 0.829475
[274]	training's auc: 0.873575	valid_1's auc: 0.829493
[275]	training's auc: 0.873598	valid_1's auc: 0.829519
[276]	training's auc: 0.873638	valid_1's auc: 0.829548
[277]	training's auc: 0.873643	valid_1's auc: 0.829549
[278]	training's auc: 0.873646	valid_1's auc: 0.829554
[279]	training's auc: 0.873691	valid_1's auc: 0.829538
[280]	training's auc: 0.873723	valid_1's auc: 0.829515
[281]	training's auc: 0.873785	valid_1's auc: 0.829527
[282]	training's auc: 0.873875	valid_1's auc: 0.829481
[283]	training's auc: 0.873879	valid_1's auc: 0.82947
[284]	training's auc: 0.873942	valid_1's auc: 0.829442
[285]	training's auc: 0.873982	valid_1's auc: 0.829494
[286]	training's auc: 0.873983	valid_1's auc: 0.829484
[287]	training's auc: 0.874026	valid_1's auc: 0.829468
[288]	training's auc: 0.874063	valid_1's auc: 0.829494
[289]	training's auc: 0.874108	valid_1's auc: 0.829483
[290]	training's auc: 0.874149	valid_1's auc: 0.829521
[291]	training's auc: 0.874192	valid_1's auc: 0.829476
[292]	training's auc: 0.874226	valid_1's auc: 0.829479
[293]	training's auc: 0.874297	valid_1's auc: 0.829446
[294]	training's auc: 0.874319	valid_1's auc: 0.829425
[295]	training's auc: 0.874374	valid_1's auc: 0.829467
[296]	training's auc: 0.87438	valid_1's auc: 0.829458
[297]	training's auc: 0.874427	valid_1's auc: 0.829425
[298]	training's auc: 0.874453	valid_1's auc: 0.829477
[299]	training's auc: 0.874455	valid_1's auc: 0.82948
[300]	training's auc: 0.87449	valid_1's auc: 0.82958
[301]	training's auc: 0.87453	valid_1's auc: 0.829708
[302]	training's auc: 0.874552	valid_1's auc: 0.829661
[303]	training's auc: 0.874593	valid_1's auc: 0.829652
[304]	training's auc: 0.874597	valid_1's auc: 0.829636
[305]	training's auc: 0.874632	valid_1's auc: 0.829599
[306]	training's auc: 0.874691	valid_1's auc: 0.829643
[307]	training's auc: 0.874699	valid_1's auc: 0.829647
[308]	training's auc: 0.874747	valid_1's auc: 0.829618
[309]	training's auc: 0.874783	valid_1's auc: 0.829621
[310]	training's auc: 0.874809	valid_1's auc: 0.829625
[311]	training's auc: 0.874829	valid_1's auc: 0.829559
[312]	training's auc: 0.874868	valid_1's auc: 0.829518
[313]	training's auc: 0.874875	valid_1's auc: 0.829576
[314]	training's auc: 0.874901	valid_1's auc: 0.829561
[315]	training's auc: 0.87495	valid_1's auc: 0.829545
[316]	training's auc: 0.874977	valid_1's auc: 0.829514
[317]	training's auc: 0.874978	valid_1's auc: 0.829551
[318]	training's auc: 0.875009	valid_1's auc: 0.829567
[319]	training's auc: 0.875041	valid_1's auc: 0.829542
[320]	training's auc: 0.875079	valid_1's auc: 0.829513
[321]	training's auc: 0.875133	valid_1's auc: 0.829488
[322]	training's auc: 0.875137	valid_1's auc: 0.82948
[323]	training's auc: 0.875153	valid_1's auc: 0.829451
[324]	training's auc: 0.875194	valid_1's auc: 0.829528
[325]	training's auc: 0.875232	valid_1's auc: 0.829593
[326]	training's auc: 0.875275	valid_1's auc: 0.829611
[327]	training's auc: 0.875319	valid_1's auc: 0.829668
[328]	training's auc: 0.875321	valid_1's auc: 0.829667
[329]	training's auc: 0.875359	valid_1's auc: 0.829677
[330]	training's auc: 0.875395	valid_1's auc: 0.829675
[331]	training's auc: 0.8754	valid_1's auc: 0.829668
[332]	training's auc: 0.875433	valid_1's auc: 0.829655
[333]	training's auc: 0.875456	valid_1's auc: 0.829671
[334]	training's auc: 0.875461	valid_1's auc: 0.829644
[335]	training's auc: 0.875507	valid_1's auc: 0.829662
[336]	training's auc: 0.875523	valid_1's auc: 0.829667
[337]	training's auc: 0.875576	valid_1's auc: 0.829764
[338]	training's auc: 0.875617	valid_1's auc: 0.829755
[339]	training's auc: 0.875622	valid_1's auc: 0.829718
[340]	training's auc: 0.875657	valid_1's auc: 0.82971
[341]	training's auc: 0.875682	valid_1's auc: 0.829675
[342]	training's auc: 0.875709	valid_1's auc: 0.829668
[343]	training's auc: 0.875768	valid_1's auc: 0.829667
[344]	training's auc: 0.875801	valid_1's auc: 0.829687
[345]	training's auc: 0.875851	valid_1's auc: 0.829675
[346]	training's auc: 0.875854	valid_1's auc: 0.829705
[347]	training's auc: 0.875856	valid_1's auc: 0.829659
[348]	training's auc: 0.875907	valid_1's auc: 0.829659
[349]	training's auc: 0.875945	valid_1's auc: 0.829763
[350]	training's auc: 0.875991	valid_1's auc: 0.829761
[351]	training's auc: 0.876029	valid_1's auc: 0.829761
[352]	training's auc: 0.876064	valid_1's auc: 0.829731
[353]	training's auc: 0.876094	valid_1's auc: 0.82968
[354]	training's auc: 0.876131	valid_1's auc: 0.829701
[355]	training's auc: 0.876137	valid_1's auc: 0.829721
[356]	training's auc: 0.876144	valid_1's auc: 0.82972
[357]	training's auc: 0.876143	valid_1's auc: 0.829724
[358]	training's auc: 0.876178	valid_1's auc: 0.829722
[359]	training's auc: 0.876227	valid_1's auc: 0.829722
[360]	training's auc: 0.876258	valid_1's auc: 0.829722
[361]	training's auc: 0.876281	valid_1's auc: 0.829707
[362]	training's auc: 0.876307	valid_1's auc: 0.829705
[363]	training's auc: 0.876354	valid_1's auc: 0.829722
[364]	training's auc: 0.876356	valid_1's auc: 0.829717
[365]	training's auc: 0.876376	valid_1's auc: 0.829681
[366]	training's auc: 0.876394	valid_1's auc: 0.829666
[367]	training's auc: 0.876449	valid_1's auc: 0.829692
[368]	training's auc: 0.876482	valid_1's auc: 0.829733
